Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-02-14,22,Theft,10H30,Other Parking Lot,2200-2299,DALLAS,ST,-,1
2015-02-01,16,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,COMMERCE,ST,-,1
2015-02-07,15,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE,ST,-,1
2015-02-07,16,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,COMMERCE,ST,-,1
2015-02-21,10,Theft,10H30,Apartment Parking Lot,1200-1299,HUTCHINS,-,-,1
2015-02-28,22,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST,-,1
2015-02-27,14,Theft,10H30,Driveway,900-999,HUTCHINS,-,-,1
2015-02-13,15,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,COMMERCE,ST,-,1
2015-02-09,16,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE,ST,-,1
2015-02-11,20,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,MCKINNEY,ST,-,1
2015-02-01,20,Robbery,10H30,"Road, Street, or Sidewalk",2000-2099,PRESTON,ST,-,1
2015-02-06,14,Theft,10H30,Restaurant or Cafeteria Parking Lot,1600-1699,DOWLING,ST,-,1
2015-02-01,12,Theft,10H30,"Road, Street, or Sidewalk",1800-1899,ENNIS,ST,-,1
2015-02-20,23,Theft,10H30,Commercial Parking Lot or Garage,2400-2499,PRESTON,ST,-,1
2015-02-19,22,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2015-02-20,02,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,SAN JACINTO,-,-,1
2015-02-25,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-02-27,07,Auto Theft,10H40,Apartment Parking Lot,2800-2899,AUSTIN,ST,-,1
2015-02-27,12,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2015-02-28,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",800-899,ROSALIE,-,-,1
2015-01-19,14,Theft,10H40,Bar or Night Club,2900-2999,TRAVIS,-,-,1
2015-02-06,03,Theft,10H40,Bar or Night Club,2100-2199,MAIN,ST,-,1
2015-02-04,06,Theft,10H40,Bus Stop,2000-2099,MAIN,-,-,1
2015-02-08,21,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,DREW,ST,-,1
2015-02-11,11,Burglary,10H40,Office Building,2000-2099,MAIN,ST,-,1
2015-02-11,13,Theft,10H40,Commercial Parking Lot or Garage,1000-1099,FRANCIS,ST,-,1
