WARNING *** file size (2971767) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-09-07,21,Rape,14D30,20R,4800-4899,BURMA,-,-,1
2009-09-08,18,Rape,6B60,---,500-599,SEMINAR,DR,-,1
2009-09-03,14,Rape,8C40,13R,9900-9999,VALLEY MILL,CT,-,1
2009-09-16,01,Rape,3B40,20A,4600-4699,ARLINGTON,ST,-,1
2009-09-19,04,Rape,3B40,20R,4600-4699,ARLINGTON,ST,-,1
2009-09-23,00,Rape,7C20,20A,2900-2999,JEWEL,ST,-,1
2009-09-01,18,Rape,19G10,20A,9300-9399,CONCOURSE,DR,-,1
2009-09-29,21,Rape,15E20,20A,5500-5599,GASMER,DR,-,1
2008-09-24,03,Rape,7C20,13R,3600-3699,LIBERTY,RD,-,1
2009-09-11,11,Rape,6B60,20A,1000-1099,GREENS,RD,-,1
2009-09-22,02,Rape,6B30,20R,6300-6399,FRANCIS MARION,DR,-,1
2009-09-21,11,Rape,9C40,20R,12300-12399,COULSON,ST,-,1
2009-09-27,02,Rape,17E30,20A,9700-9799,GESSNER,DR,S,1
2009-09-27,00,Rape,17E30,13A,8800-8899,GUSTINE,LN,-,1
2009-09-14,22,Rape,10H50,20R,3500-3599,BEULAH,ST,-,1
2009-09-26,19,Rape,10H10,250,2400-2499,NAVIGATION,BLVD,-,1
2009-09-26,16,Rape,6B50,20A,16300-16399,IMPERIAL VALLEY,DR,-,1
2009-09-14,00,Rape,UNK,20R,7500-7599,BUBBLING SPRING,LN,-,1
2009-09-19,03,Rape,11H40,13R,1400-1499,OGILVIE,AVE,-,1
2009-09-16,11,Rape,11H20,20P,2200-2299,GALVESTON,RD,-,1
2009-09-02,16,Rape,1A50,20A,5100-5199,EDLOE,ST,-,1
2009-09-13,02,Rape,17E20,20A,7600-7699,BEECHNUT,ST,-,1
2009-09-18,00,Rape,17E30,100,11200-11299,GESSNER,DR,S,1
2009-09-18,17,Rape,1A20,20R,1400-1499,RUTHVEN,-,-,1
2009-09-16,08,Rape,14D50,18M,4800-4899,FUQUA,ST,-,1
2009-09-16,04,Rape,17E30,18R,9000-9099,GESSNER,DR,S,1
2009-09-29,05,Rape,7C10,13R,1800-1899,SEMMES,-,-,1
2009-09-16,21,Rape,11H10,20R,100-199,GLENDALE,ST,-,1
2009-09-23,09,Rape,UNK,09H,4000-4099,SPENCER,HWY,-,1
2009-09-10,13,Rape,10H80,09P,900-999,BERTHEA,ST,-,1
2009-09-25,22,Rape,6B30,250,8600-8699,NORTH HOUSTON ROSSLYN,RD,-,1
2009-09-05,20,Rape,10H10,20R,3900-3999,BERING,-,-,1
2009-09-25,15,Rape,19G40,20R,8700-8799,DAIRY ASHFORD,-,S,1
2009-09-14,16,Rape,19G10,20A,9400-9499,CONCOURSE,DR,-,1
2009-09-11,00,Rape,16E20,20R,3800-3899,RIPPLEBROOK,DR,-,1
2009-08-31,23,Robbery,2A30,18T,200-299,20TH,ST,W,1
2009-09-01,17,Robbery,10H50,210,3700-3799,SCOTT,-,-,1
2009-09-01,17,Robbery,7C30,24E,9200-9299,JENSEN,DR,-,1
2009-09-02,01,Robbery,6B50,140,0-99,NORTH SAM HOUSTON,PKWY,W,1
2009-09-02,01,Robbery,7C10,13R,4400-4499,NEW ORLEANS,-,-,1
2009-09-02,01,Robbery,18F50,18P,9200-9299,RICHMOND,AVE,-,1
2009-09-02,02,Robbery,18F60,18N,9500-9599,BEECHNUT,ST,-,1
