Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-02-18,02,Robbery,18F50,18N,8900-8999,RICHMOND,AVE,-,1
2011-02-07,01,Robbery,18F50,13R,9100-9199,RICHMOND,AVE,-,1
2011-02-07,09,Robbery,18F40,20A,9400-9499,WESTHEIMER,RD,-,1
2011-02-01,14,Robbery,18F40,18A,2900-2999,ROLIDO,DR,-,1
2011-02-13,17,Robbery,18F40,13R,3000-3099,CROSSVIEW,DR,-,1
2011-02-28,01,Robbery,19G40,20R,8300-8399,LEAWOOD,BLVD,-,1
2011-02-01,20,Robbery,19G20,18G,11700-11799,BEECHNUT,ST,-,1
2011-02-13,20,Robbery,19G20,18G,11700-11799,BEECHNUT,ST,-,1
2011-02-03,15,Robbery,4F20,18R,9500-9599,KEMPWOOD,DR,-,1
2011-02-27,22,Robbery,19G50,070,10800-10899,BISSONNET,ST,-,1
2011-02-18,00,Robbery,19G50,070,10800-10899,BISSONNET,ST,-,1
2011-02-04,19,Robbery,19G50,18A,10300-10399,WILCREST,DR,-,1
2011-02-01,22,Robbery,19G50,18A,10300-10399,WILCREST,DR,-,1
2011-02-06,23,Robbery,7C20,18C,3000-3099,COLLINGSWORTH,-,-,1
2011-02-24,23,Robbery,7C20,13R,5600-5699,KASHMERE,-,-,1
2011-02-15,23,Robbery,7C20,13R,5000-5099,SALINA,-,-,1
2011-02-17,23,Robbery,7C20,13R,3300-3399,SOLO,-,-,1
2011-02-09,20,Robbery,7C20,18O,3800-3899,LIBERTY,RD,-,1
2011-02-11,20,Robbery,6B30,18C,3400-3499,LITTLE YORK,RD,W,1
2011-02-20,15,Robbery,6B30,18C,3400-3499,LITTLE YORK,RD,W,1
2011-02-21,00,Robbery,19G10,18A,10200-10299,BEECHNUT,ST,-,1
2011-02-10,22,Robbery,10H70,13R,6900-6999,ARDMORE,ST,-,1
2011-02-18,18,Robbery,7C30,18R,9400-9499,JENSEN,DR,-,1
2011-02-23,11,Robbery,20G30,18B,11200-11299,WESTHEIMER,RD,-,1
2011-02-23,01,Robbery,12D60,13R,17300-17399,SATURN,LN,-,1
2011-02-22,12,Robbery,12D60,02B,1000-1099,BAY AREA,BLVD,-,1
2011-02-02,16,Robbery,8C10,18O,8000-8099,HIRSCH,RD,-,1
2011-02-20,02,Robbery,16E10,13R,12400-12499,ALMEDA,RD,-,1
2011-02-17,18,Robbery,16E20,05G,3400-3499,SIMSBROOK,DR,-,1
2011-02-03,21,Robbery,4F10,20A,1700-1799,GESSNER,DR,-,1
2011-02-07,15,Robbery,4F10,13R,1600-1699,GESSNER,DR,-,1
2011-02-06,13,Robbery,18F60,18A,9500-9599,BEECHNUT,ST,-,1
2011-02-18,11,Robbery,14D10,080,4400-4499,GRIGGS,-,-,1
2011-02-04,20,Robbery,15E10,080,9500-9599,POST OAK,RD,S,1
2011-02-10,19,Robbery,18F60,18P,8300-8399,BEECHNUT,ST,-,1
2011-02-04,20,Robbery,6B30,20A,6100-6199,TIDWELL,RD,W,1
2011-01-10,07,Robbery,4F10,13R,1400-1499,WITTE,RD,-,1
2011-02-17,22,Robbery,3B10,18A,5500-5599,ANTOINE,DR,-,1
2011-02-06,23,Robbery,13D10,18A,2400-2499,LIDSTONE,-,-,1
2011-02-03,05,Robbery,13D10,13R,2400-2499,WAYSIDE,-,S,1
2011-02-16,06,Robbery,17E20,09D,7100-7199,BEECHNUT,ST,-,1
2011-02-28,23,Robbery,19G10,20A,10100-10199,LANSDALE,DR,-,1
2011-02-28,15,Robbery,19G10,18A,9400-9499,WEST SAM HOUSTON,PKWY,S,1
2011-02-01,16,Robbery,10H60,13R,3000-3099,EAGLE,ST,-,1
2011-02-02,02,Robbery,10H60,13R,3000-3099,BARBEE,ST,-,1
2011-02-13,05,Robbery,19G10,18A,9400-9499,CONCOURSE,DR,-,1
2011-02-20,23,Robbery,19G10,13R,9400-9499,COUNTRY CREEK,DR,-,1
2011-02-10,18,Robbery,18F60,18T,8000-8099,HARWIN,DR,-,1
2011-02-25,16,Robbery,19G10,20A,9900-9999,CLUB CREEK,DR,-,1
2011-02-06,12,Robbery,19G10,18U,9500-9599,BISSONNET,ST,-,1
2011-02-06,02,Robbery,19G10,18A,10400-10499,CLUB CREEK,DR,-,1
2011-02-15,12,Robbery,3B10,18T,5300-5399,ANTOINE,DR,-,1
2011-02-12,15,Robbery,3B10,20A,6000-6099,SUNFOREST,-,-,1
2011-02-01,18,Robbery,6B30,13R,5600-5699,TIDWELL,RD,W,1
2011-02-16,06,Robbery,6B30,18A,6100-6199,ANTOINE,DR,-,1
2011-02-09,23,Robbery,5F20,18C,1900-1999,CAMPBELL,RD,-,1
2011-02-13,22,Robbery,6B50,18R,300-399,ALDINE BENDER,RD,-,1
2011-02-20,20,Robbery,3B10,13R,4500-4599,SHERWOOD,LN,-,1
2011-02-17,12,Robbery,14D20,20A,7400-7499,CULLEN,BLVD,-,1
2011-02-19,00,Robbery,19G20,20A,10500-10599,TURTLEWOOD,CT,-,1
2011-02-20,11,Robbery,19G20,20C,10500-10599,TURTLEWOOD,CT,-,1
2011-02-17,12,Robbery,11H10,18A,6100-6199,GULF,FWY,-,1
2011-02-25,15,Robbery,11H10,18B,2200-2299,TELEPHONE,RD,-,1
2011-02-25,19,Robbery,11H10,13R,5700-5799,NEWPORT,-,-,1
2011-02-14,23,Robbery,16E20,13R,4400-4499,SOUTH SAM HOUSTON,PKWY,W,1
2011-02-16,14,Robbery,16E20,20R,15800-15899,REDDY,LN,-,1
2011-02-19,10,Robbery,2A30,210,2700-2799,YALE,-,-,1
2011-02-16,20,Robbery,2A30,13R,1100-1199,CORTLANDT,ST,-,1
2011-02-17,06,Robbery,2A30,20A,800-899,SHEPHERD,DR,N,1
2011-02-16,20,Robbery,2A30,13R,700-799,MOSBY,CIR,-,1
2011-02-14,14,Robbery,2A30,13R,1200-1299,12TH,ST,W,1
2011-02-19,22,Robbery,2A30,20A,400-499,HEIGHTS,BLVD,-,1
2011-02-07,09,Robbery,8C20,20A,6700-6799,BENNINGTON,-,-,1
2011-02-14,20,Robbery,8C20,18C,6500-6599,HOMESTEAD,RD,-,1
2011-02-16,10,Robbery,11H10,18C,700-799,WAYSIDE,-,S,1
2011-02-25,14,Robbery,14D20,18G,9400-9499,CULLEN,BLVD,-,1
2011-02-17,11,Robbery,1A40,20R,2100-2199,PINE VALLEY,DR,-,1
2011-02-02,10,Robbery,1A40,18W,2400-2499,RIVER OAKS,BLVD,-,1
2011-02-12,12,Robbery,11H10,18T,900-999,WAYSIDE,-,S,1
2011-02-01,11,Robbery,20G80,070,1600-1699,HWY 6,-,S,1
2011-02-12,01,Robbery,20G50,070,900-999,BUNKER HILL,RD,-,1
2011-02-05,04,Robbery,5F30,18A,5700-5799,GUHN,-,-,1
2011-02-13,17,Robbery,5F30,20W,6100-6199,FLINTLOCK,RD,-,1
2011-02-05,23,Robbery,6B20,20R,800-899,ELKHART,ST,-,1
2011-02-24,22,Robbery,6B40,18C,2400-2499,LITTLE YORK,RD,W,1
2011-02-28,18,Robbery,20G70,18A,12900-12999,BRANT ROCK,DR,-,1
2011-02-03,01,Robbery,6B40,18N,9000-9099,NORTH,FWY,-,1
2011-02-24,18,Robbery,20G70,18A,12700-12799,ASHFORD POINT,DR,-,1
2011-02-01,00,Robbery,20G70,20R,12500-12599,ASHFORD VILLA,LN,N,1
2011-02-04,13,Robbery,20G70,20P,12600-12699,ASHFORD MEADOW,DR,-,1
2011-02-04,20,Robbery,20G70,18A,12700-12799,BRANT ROCK,DR,-,1
2011-02-06,17,Robbery,20G70,18A,3900-3999,ASHBURNHAM,DR,-,1
2011-02-13,11,Robbery,15E40,18A,2400-2499,WESTRIDGE,ST,-,1
2011-02-15,20,Robbery,15E40,18A,2600-2699,WESTRIDGE,ST,-,1
2011-02-17,19,Robbery,16E40,11R,5100-5199,RIDGECREEK,DR,W,1
2011-02-23,14,Robbery,15E40,05Q,8200-8299,KIRBY,DR,-,1
2011-02-25,20,Robbery,19G20,18A,12000-12099,DASHWOOD,DR,-,1
2011-02-09,10,Robbery,15E30,20R,8400-8499,BLUEGATE,CT,-,1
2011-02-01,17,Robbery,15E40,18A,3000-3099,MURWORTH,DR,-,1
2011-02-08,20,Robbery,15E40,080,8500-8599,MAIN,ST,-,1
2011-02-17,23,Robbery,15E40,18A,2800-2899,BROADMEAD,DR,-,1
