Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-24,,00,Robbery,18F50,18P,6700-6799,SOUTHWEST,FWY,-,1
2009-01-06,,18,Robbery,14D30,18C,7000-7099,MARTIN LUTHER KING,BLVD,-,1
2010-01-07,,02,Robbery,17E10,13R,6400-6499,HILLCROFT,-,-,1
2010-01-30,,02,Robbery,17E20,18N,7600-7699,BEECHNUT,ST,-,1
2010-01-31,,02,Robbery,5F10,18C,2000-2099,ANTOINE,DR,-,1
2010-01-02,,02,Robbery,19G50,13R,10300-10399,BISSONNET,ST,-,1
2010-01-26,,13,Robbery,10H70,18O,1300-1399,WHEELER,-,-,1
2010-01-24,,04,Robbery,18F50,18O,7200-7299,HARWIN,DR,-,1
2010-01-24,,02,Robbery,18F40,13R,1100-1199,GESSNER,DR,S,1
2010-01-20,,00,Robbery,3B10,13R,4100-4199,COSTA RICA,RD,-,1
2010-01-18,,14,Robbery,14D10,13R,6100-6199,MILART,-,-,1
2010-01-24,,07,Robbery,6B50,18G,11000-11099,AIRLINE,DR,-,1
2010-01-20,,00,Robbery,14D30,13R,7600-7699,MARTIN LUTHER KING,BLVD,-,1
2010-01-23,,23,Robbery,3B10,18N,800-899,NORTHWEST MALL,-,-,1
2010-01-20,,18,Robbery,9C20,18G,5900-5999,LYONS,-,-,1
2010-01-17,,18,Robbery,16E30,13R,13400-13499,MAIN,ST,-,1
2010-01-14,,15,Robbery,2A20,13R,6600-6699,MAIN,-,N,1
2010-01-17,,23,Robbery,19G10,13R,8000-8099,WILCREST,DR,-,1
2010-01-26,,12,Robbery,1A40,18T,2600-2699,WESTHEIMER,RD,-,1
2010-01-02,,10,Robbery,15E20,13R,12300-12399,POST OAK,RD,S,1
2010-01-28,,14,Robbery,16E40,13R,16300-16399,CHIMNEY ROCK,RD,-,1
2010-01-14,,18,Robbery,7C30,18T,7600-7699,JENSEN,DR,-,1
2010-01-10,,00,Robbery,14D30,18C,7100-7199,MARTIN LUTHER KING,BLVD,-,1
2009-01-09,,00,Robbery,1A20,13R,900-999,LOVETT,BLVD,-,1
2010-01-07,,01,Robbery,15E20,18N,11500-11599,BURDINE,ST,-,1
2010-01-29,,03,Robbery,13D10,13S,7200-7299,SOUTH LP E,-,-,1
2010-01-14,,14,Robbery,17E10,13R,6100-6199,DASHWOOD,DR,-,1
2010-01-28,,22,Robbery,10H40,13R,1000-1099,WEBSTER,-,-,1
2010-01-28,,22,Robbery,9C40,18R,13400-13499,EAST,FWY,-,1
