Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-05-23,05,Burglary,2A30,03B,3100-3199,WHITE OAK,DR,-,1
2009-05-25,23,Theft,1A30,20D,2500-2599,WOODHEAD,-,-,1
2009-05-26,16,Theft,3B10,250,4800-4899,LIDO,LN,-,1
2009-05-29,08,Theft,20G10,20A,9900-9999,RICHMOND,AVE,-,1
2009-05-30,15,Theft,15E30,22E,9800-9899,STELLA LINK,-,-,1
2009-06-01,12,Aggravated Assault,14D20,20A,9400-9499,HENO,-,-,1
2009-06-01,12,Burglary,1A30,20R,1600-1699,KIPLING,-,-,1
2009-06-01,08,Theft,1A20,20P,2000-2099,BUFFALO TERRACE,-,-,1
2009-06-01,00,Theft,18F30,20A,1800-1899,FOUNTAIN VIEW,DR,-,1
2009-06-01,00,Theft,12D50,20R,16400-16499,HAVENHURST,DR,-,1
2009-06-01,00,Theft,10H70,20D,1700-1799,ROSEDALE,-,-,1
2009-06-01,10,Theft,10H50,20R,3100-3199,LIVE OAK,-,-,1
2009-06-01,00,Theft,20G60,18A,14800-14899,MEMORIAL,DR,-,1
2009-06-03,00,Theft,20G30,05R,10800-10899,RICHMOND,AVE,-,1
2009-06-05,12,Theft,17E10,18A,6200-6299,GULFTON,-,-,1
2009-06-06,00,Theft,5F20,20C,9300-9399,HAMMERLY,-,-,1
2009-06-07,02,Rape,14D10,20A,4700-4799,MARIETTA,LN,-,1
2009-06-10,14,Theft,2A10,20R,4000-4099,BADEN,ST,-,1
2009-06-12,02,Theft,8C60,20R,6300-6399,HARMON,-,-,1
2009-06-13,01,Burglary,3B30,20R,1400-1499,ALTHEA,DR,-,1
2009-06-13,06,Theft,20G60,18A,14200-14299,KIMBERLEY,LN,-,1
2009-06-15,12,Theft,6B30,20A,6100-6199,ANTOINE,DR,-,1
2009-06-15,21,Theft,3B30,20D,1500-1599,CHANTILLY,LN,-,1
2009-06-16,00,Theft,19G40,240,12400-12499,BISSONNET,ST,-,1
2009-06-19,01,Robbery,11H10,18N,8000-8099,HARRISBURG,BLVD,-,1
2009-06-21,00,Theft,8C60,20R,6300-6399,ROUGHLOCK,-,-,1
2009-06-22,12,Theft,12D30,05H,13800-13899,GULF,FWY,-,1
2009-06-25,16,Murder,14D20,100,5100-5199,BRISCOE,ST,-,1
2009-06-26,06,Theft,21I50,01A,3400-3499,TERMINAL,RD,N,1
2009-06-27,14,Auto Theft,19G50,18O,11600-11699,SOUTHWEST,FWY,-,2
2009-07-01,00,Burglary,14D30,20A,7700-7799,BELBAY,ST,-,1
2009-07-01,00,Theft,4F10,120,2100-2199,SHADOWDALE,DR,-,1
2009-07-01,19,Theft,19G10,18P,9800-9899,BEECHNUT,ST,-,1
2009-07-01,08,Theft,4F10,070,2100-2199,SHADOWDALE,DR,-,1
2009-07-01,08,Theft,6B50,11G,0-99,NORTHPOINT,DR,-,1
2009-07-01,00,Theft,2A60,20D,2000-2099,CRANSTON,CT,-,1
2009-07-02,07,Theft,18F30,02B,5700-5799,WESTHEIMER,RD,-,1
2009-07-04,19,Theft,9C40,20R,12400-12499,JANEY,-,-,1
2009-07-05,02,Aggravated Assault,18F50,03B,5900-5999,HILLCROFT,-,-,1
2009-07-06,12,Theft,14D40,20R,4200-4299,FRIAR POINT,RD,-,1
2009-07-07,00,Theft,10H70,250,6400-6499,FANNIN,-,-,1
2009-07-08,16,Theft,14D10,20A,5600-5699,ROYAL PALMS,ST,-,1
2009-07-10,18,Theft,19G10,20R,9300-9399,COUNTRY CREEK,DR,-,1
