Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-12-17,15,Theft,3B30,"Parks and Recreation, Zoo, Swimming Pool",4200-4299,T C JESTER,BLVD,W,1
2014-12-17,10,Theft,3B30,Other Parking Lot,4200-4299,T C JESTER,BLVD,W,1
2014-12-12,14,Burglary,3B30,Garage or Carport,1100-1199,RICHELIEU,LN,-,1
2014-12-10,13,Burglary,3B30,Residence or House,2300-2399,LAMONTE,LN,-,1
2014-12-17,23,Robbery,3B30,Apartment,800-899,34TH,ST,W,1
2014-12-16,11,Theft,3B30,Grocery Store or Supermarket,1300-1399,43RD,ST,W,1
2014-12-24,07,Theft,3B30,Residence or House,1700-1799,HEWITT,DR,-,1
2014-12-29,10,Burglary,3B30,Residence or House,400-499,34TH,ST,W,1
2014-12-08,06,Theft,3B30,Driveway,2100-2199,BRIMBERRY,ST,-,1
2014-12-01,11,Theft,3B30,Middle School,1500-1599,CHANTILLY,LN,-,1
2014-12-21,11,Auto Theft,3B30,Driveway,2100-2199,SAXON,DR,-,1
2014-12-19,11,Theft,3B30,Grocery Store or Supermarket,1300-1399,43RD,ST,W,1
2014-12-13,20,Theft,3B30,Bar or Night Club,3400-3499,SHEPHERD,DR,N,1
2014-12-13,21,Theft,3B30,Bar or Night Club Parking Lot,3400-3499,SHEPHERD,DR,N,1
2014-12-12,16,Theft,3B30,Grocery Store or Supermarket Parking Lot,1300-1399,43RD,ST,W,1
2014-12-28,10,Theft,3B30,Grocery Store or Supermarket Parking Lot,1300-1399,43RD,ST,W,1
2014-12-27,11,Burglary,3B30,"Church, Synagogue, or Temple",3600-3699,BRINKMAN,ST,-,1
2014-12-05,09,Theft,3B30,Commercial Parking Lot or Garage,900-999,34TH,ST,W,1
2014-12-10,15,Theft,3B30,,1600-1699,CHANTILLY,LN,-,1
2014-12-23,09,Theft,3B30,"Church, Synagogue, or Temple Parking Lot",3600-3699,BRINKMAN,ST,-,1
2014-12-20,15,Theft,3B30,Driveway,900-999,STONECREST,DR,-,1
2014-12-16,14,Aggravated Assault,3B30,Other Parking Lot,1700-1799,34TH,ST,W,1
2014-12-17,09,Theft,3B30,Apartment Rental Office,800-899,34TH,ST,W,1
2014-12-02,11,Theft,3B30,"Parks and Recreation, Zoo, Swimming Pool",2100-2199,JUDIWAY,-,-,1
2014-11-28,07,Theft,3B30,Office Building,2100-2199,JUDIWAY,ST,-,1
2014-11-01,11,Theft,3B30,Residence or House,4400-4499,DONNA BELL,LN,-,1
2014-12-28,07,Auto Theft,3B30,"Road, Street, or Sidewalk",1100-1199,CHANTILLY,LN,-,1
2014-12-29,12,Theft,3B30,"Road, Street, or Sidewalk",200-299,33RD,ST,W,1
2014-12-19,11,Burglary,3B30,Residence or House,1000-1099,31ST,ST,W,1
2014-12-07,13,Theft,3B30,Restaurant or Cafeteria Parking Lot,700-799,LOOP,-,-,1
2014-12-12,16,Theft,3B30,Vehicle/Auto Sales/Lease/Auto Parts Store,800-899,42ND,ST,W,1
2014-12-10,10,Theft,3B30,Residence or House,1600-1699,CHANTILLY,LN,-,1
2014-12-10,08,Burglary,3B30,Residence or House,500-599,W. 34TH,-,-,1
2014-12-10,18,Theft,3B30,Residence or House,2200-2299,SAXON,-,-,1
2014-12-06,07,Theft,3B30,Driveway,4400-4499,APOLLO,ST,-,1
2014-12-04,22,Aggravated Assault,3B30,,1000-1099,WAKEFIELD,DR,-,1
2014-12-04,11,Burglary,3B30,Residence or House,1700-1799,DE MILO,DR,-,1
2014-12-01,08,Theft,3B30,Construction Site,1300-1399,WAKEFIELD,DR,-,1
2014-12-01,08,Theft,3B30,Driveway,3000-3099,GUESE,RD,-,1
2014-12-16,19,Theft,3B30,,1400-1499,MARTIN,RD,-,1
2014-12-12,07,Theft,3B30,Driveway,4400-4499,APOLLO,ST,-,1
2014-12-23,03,Robbery,3B30,Vacant Building (Commercial),700-799,LOOP,-,N,1
2014-12-21,09,Theft,3B30,Driveway,1200-1299,30TH,ST,W,1
2014-12-15,19,Robbery,3B30,Department or Discount Store,1800-1899,43RD,ST,W,1
2014-12-14,12,Theft,3B30,Commercial Parking Lot or Garage,1600-1699,LOOP,-,N,1
