Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-10-29,13,Burglary,10H20,Residence or House,4100-4199,WOODLEIGH,-,-,1
2014-10-17,14,Theft,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
2014-10-14,05,Theft,10H20,Driveway,5100-5199,LINDSAY,-,-,1
2014-10-12,18,Theft,10H20,,4100-4199,POLK,-,-,1
2014-10-04,04,Auto Theft,10H20,Driveway,3900-3999,DALLAS,ST,-,1
2014-10-06,05,Burglary,10H20,Residence or House,4400-4499,DALLAS,ST,-,1
2014-10-07,02,Theft,10H20,Apartment Parking Lot,1600-1699,MARLIN,ST,-,1
2014-10-07,09,Theft,10H20,,4900-4999,RUSK,ST,-,1
2014-10-29,13,Burglary,10H20,Residence or House,4200-4299,BELL,ST,-,1
2014-10-31,12,Theft,10H20,Other Parking Lot,3800-3899,LAMAR,-,-,1
2014-10-10,13,Burglary,10H20,Residence or House,1400-1499,LAWSON,-,-,1
2014-10-08,10,Burglary,10H20,Residence or House,4700-4799,MCKINNEY,ST,-,1
2014-10-28,16,Auto Theft,10H20,"Road, Street, or Sidewalk",4900-4999,LEELAND,-,-,1
2014-10-29,13,Burglary,10H20,Residence or House,4400-4499,BELL,ST,-,1
2014-10-30,07,Burglary,10H20,Restaurant or Cafeteria,900-999,TELEPHONE,-,-,1
2014-10-11,08,Theft,10H30,Residence or House,2100-2199,WALKER,ST,-,1
2014-10-13,08,Theft,10H30,Residence or House,900-999,MCKINNEY PARK,LN,-,1
2014-10-02,09,Theft,10H30,,800-899,ST EMANUEL,-,-,1
2014-10-04,03,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,BELL,ST,-,1
2014-10-05,04,Theft,10H30,Bar or Night Club,2100-2199,BELL,ST,-,1
2014-10-15,16,Theft,10H30,Driveway,2700-2799,LEELAND,-,-,1
2014-10-14,05,Theft,10H30,Miscellaneous Business (Non-Specific),500-599,DOWLING,ST,-,1
2014-10-19,05,Auto Theft,10H30,,3500-3599,POLK,-,-,1
2014-10-19,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CLAY,-,-,1
2014-10-30,00,Theft,10H30,Other Parking Lot,900-999,ST. EMANUEL,-,-,1
2014-10-04,05,Robbery,10H30,"Road, Street, or Sidewalk",600-699,LIVE OAK,-,-,1
2014-08-23,17,Theft,10H30,Other Parking Lot,UNK,CHARTRES,-,-,1
2014-10-01,06,Burglary,10H30,Commercial Building,2800-2899,GULF,FWY,-,1
2014-10-11,15,Robbery,10H30,"Road, Street, or Sidewalk",1700-1799,DOWLING,ST,-,1
2014-10-19,12,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,GULF,FWY,-,1
2014-10-24,07,Theft,10H30,Service or Gas Station,3500-3599,IH 45,-,S,1
2014-10-22,09,Auto Theft,10H30,"Road, Street, or Sidewalk",1200-1299,DELANO,-,-,1
2014-10-23,10,Burglary,10H30,Construction Site,2200-2299,JEFFERSON,ST,-,1
2014-10-06,18,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,MCKINNEY,ST,-,1
2014-10-13,08,Theft,10H30,"Road, Street, or Sidewalk",900-999,MCKINNEY PARK,LN,-,1
2014-10-02,10,Theft,10H30,,2600-2699,MCKINNEY,ST,-,1
2014-10-16,19,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,PRESTON,ST,-,1
2014-10-31,14,Theft,10H30,Miscellaneous Business (Non-Specific),800-899,SAINT EMANUEL,ST,-,1
2014-10-16,04,Theft,10H30,Vacant Industrial or Manufacturing Blding,1800-1899,EDMUNDSON,ST,-,1
2014-10-23,09,Theft,10H30,Commercial Parking Lot or Garage,400-499,DOWLING,ST,-,1
2014-10-26,00,Theft,10H30,"Road, Street, or Sidewalk",900-999,ST EMANUEL,-,-,1
2014-10-05,03,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL,ST,-,1
2014-10-06,11,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,WALKER,ST,-,1
2014-10-01,07,Burglary,10H30,Commercial Building,3400-3499,GULF,FWY,-,1
2014-10-04,11,Theft,10H30,Miscellaneous Business (Non-Specific),800-899,SAINT CHARLES,-,-,1
2014-10-05,16,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,CONGRESS,-,-,1
2014-10-02,14,Theft,10H30,,2100-2199,CAPITOL,ST,-,1
2014-10-18,01,Theft,10H30,Commercial Building,3500-3599,LEELAND,-,-,1
2014-10-09,17,Burglary,10H30,Residence or House,1300-1399,MILBY,-,-,1
2014-10-04,04,Theft,10H30,,2100-2199,BELL,ST,-,1
2014-10-01,06,Theft,10H30,"Road, Street, or Sidewalk",500-599,BASTROP,ST,-,1
2014-10-02,12,Theft,10H30,Residence or House,2900-2999,POLK,ST,-,1
2014-10-18,21,Theft,10H30,,2200-2299,CLAY,-,-,1
2014-10-12,08,Theft,10H30,"Road, Street, or Sidewalk",900-999,MCKINNEY PARK,LN,-,1
2014-10-25,12,Theft,10H30,Bus Station,800-899,DELANO,-,-,1
2014-10-28,20,Theft,10H30,Bank or Savings Institution Parking Lot,2400-2499,MCKINNEY,ST,-,1
2014-10-28,17,Theft,10H40,Commercial Parking Lot or Garage,2300-2399,CAROLINE,ST,-,1
2014-10-25,11,Theft,10H40,"Road, Street, or Sidewalk",900-999,HOLMAN,-,-,1
2014-10-18,16,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2014-10-18,19,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-19,03,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1200-1299,MCILHENNY,ST,-,1
2014-10-19,10,Theft,10H40,Social Services or Public Charities,1700-1799,GRAY,-,-,1
2014-10-17,09,Theft,10H40,,1600-1699,HOLMAN,-,-,1
2014-10-12,10,Theft,10H40,Sexually Oriented Club,3100-3199,FANNIN,-,-,1
2014-10-05,02,Theft,10H40,,2300-2399,MILAM,-,-,1
2014-10-03,03,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-10-18,21,Theft,10H40,Bar or Night Club Parking Lot,3600-3699,CHENEVERT,-,-,1
2014-10-19,04,Robbery,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-10-19,09,Robbery,10H40,"Road, Street, or Sidewalk",3100-3199,SAN JACINTO,-,-,1
2014-10-21,03,Robbery,10H40,"Road, Street, or Sidewalk",3500-3599,MAIN,ST,-,1
2014-10-16,10,Auto Theft,10H40,Apartment Parking Lot,3600-3699,CHENEVERT,-,-,1
2014-10-16,14,Theft,10H40,,1300-1399,HOLMAN,-,-,1
2014-10-17,19,Burglary,10H40,Office Building,2600-2699,CAROLINE,ST,-,1
2014-10-26,06,Burglary,10H40,Body Shop,1300-1399,GRAY,-,-,1
2014-10-24,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-25,13,Robbery,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-10-01,14,Theft,10H40,Apartment,1700-1799,GRAY,-,-,1
2014-10-09,15,Auto Theft,10H40,,4400-4499,FANNIN,-,-,1
2014-10-10,08,Robbery,10H40,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,ELGIN,ST,-,1
2014-10-11,23,Auto Theft,10H40,"Road, Street, or Sidewalk",3100-3199,SAN JACINTO,-,-,1
2014-10-13,10,Burglary,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-16,22,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,HOLMAN,-,-,1
2014-10-15,21,Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,ISABELLA,-,-,1
2014-10-15,22,Robbery,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-10-16,12,Auto Theft,10H40,Alley,UNK,SH288OB ENT,RAMP,-,2
2014-10-15,02,Robbery,10H40,Bus Stop,2600-2699,FANNIN,-,-,1
2014-10-21,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,3000-3099,MILAM,-,-,1
2014-10-22,00,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-10-24,09,Theft,10H40,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-,-,1
2014-10-24,23,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,3400-3499,MILAM,-,-,1
2014-10-27,03,Robbery,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2014-10-27,23,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
2014-10-01,14,Aggravated Assault,10H40,Train (Not Metro) Terminal,2100-2199,MAIN,ST,-,1
2014-10-01,08,Theft,10H40,Maintenance or Building Services,3800-3899,FANNIN,ST,-,1
2014-10-11,00,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,FANNIN,-,-,1
2014-10-29,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1000-1099,GRAY,-,-,1
2014-10-31,13,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-10-05,02,Theft,10H40,,2100-2199,MAIN,ST,-,1
2014-10-09,12,Auto Theft,10H40,Miscellaneous Business (Non-Specific),1000-1099,WEBSTER,-,-,1
2014-10-11,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-12,08,Burglary,10H40,"Other, Unknown, or Not Listed",3700-3799,MAIN,ST,-,1
2014-10-22,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-21,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-15,17,Theft,10H40,,2600-2699,TRAVIS,-,-,1
2014-10-15,17,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-10-27,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-27,17,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-10-26,17,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-09-22,10,Theft,10H40,Commercial Building,2600-2699,CAROLINE,ST,-,1
2014-10-07,11,Theft,10H40,,3800-3899,FANNIN,-,-,1
2014-10-03,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-10-03,22,Theft,10H40,,3400-3499,MILAM,-,-,1
2014-10-09,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
