Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-01-11,11,Theft,7C50,Hotel or Motel Parking Lot,4000-4099,INTERWOOD NORTH,PKWY,-,1
2015-01-07,20,Theft,7C50,Strip Business Center Parking Lot,15600-15699,JOHN F KENNEDY,BLVD,-,1
2015-01-07,18,Burglary,7C50,Apartment,5900-5999,GREENS,RD,-,1
2015-01-08,02,Theft,7C50,Hotel or Motel Parking Lot,15500-15599,JOHN F KENNEDY,BLVD,-,1
2015-01-08,07,Burglary,7C50,Warehouse,15000-15099,NORTHGREEN,BLVD,-,1
2015-01-08,09,Robbery,7C50,Bank,15100-15199,HEATHROW FOREST,PKWY,-,1
2015-01-05,08,Auto Theft,7C50,Residence or House,6200-6299,GREENS,RD,-,1
2015-01-04,11,Robbery,7C50,Apartment Parking Lot,6000-6099,GREENS,RD,-,1
2015-01-04,11,Theft,7C50,Vehicle/Auto Sales/Lease/Auto Parts Store,6100-6199,ALDINE BENDER,RD,-,1
2015-01-04,15,Auto Theft,7C50,Apartment Parking Lot,5900-5999,GREENS,RD,-,1
2015-01-04,06,Burglary,7C50,Miscellaneous Business (Non-Specific),18900-18999,KENSWICK,DR,-,1
2015-01-01,08,Aggravated Assault,7C50,"Hotel, Motel, Inn, Etc.",15500-15599,JOHN F KENNEDY,BLVD,-,2
2015-01-02,08,Theft,7C50,Miscellaneous Business (Non-Specific),15800-15899,LEE,RD,-,1
2015-01-02,07,Burglary,7C50,"Factory, Manufacturing, or Industrial",4700-4799,CONSULATE PLAZA,DR,-,1
2015-01-21,18,Theft,7C50,Restaurant or Cafeteria Parking Lot,15600-15699,JOHN F KENNEDY,BLVD,-,1
2015-01-20,06,Theft,7C50,Hotel or Motel Parking Lot,1300-1399,SAM HOUSTON,PKWY,N,1
2015-01-20,10,Auto Theft,7C50,Apartment Parking Lot,6200-6299,GREENS,RD,-,1
2015-01-20,08,Theft,7C50,Hotel or Motel Parking Lot,1900-1999,SAM HOUSTON,PKWY,N,1
2015-01-19,18,Theft,7C50,Apartment,5900-5999,GREENS,RD,-,1
2015-01-20,19,Theft,7C50,Hotel or Motel Parking Lot,15300-15399,JOHN F KENNEDY,BLVD,-,1
2015-01-20,17,Theft,7C50,"Hotel, Motel, Inn, Etc.",1300-1399,SAM HOUSTON,PKWY,N,1
2015-01-21,09,Theft,7C50,Apartment Parking Lot,9400-9499,HUMBLE WESTFIELD,RD,-,1
2015-01-21,07,Auto Theft,7C50,Apartment Parking Lot,5900-5999,GREENS,RD,-,1
2015-01-17,19,Robbery,7C50,Service or Gas Station,14500-14599,JOHN F KENNEDY,BLVD,-,1
2015-01-17,11,Auto Theft,7C50,Hotel or Motel Parking Lot,15700-15799,JOHN F KENNEDY,BLVD,-,1
2015-01-17,11,Auto Theft,7C50,Apartment Parking Lot,5900-5999,GREENS,RD,-,1
2015-01-18,15,Robbery,7C50,Restaurant or Cafeteria,15100-15199,OLD HUMBLE,RD,-,1
2015-01-16,06,Auto Theft,7C50,Apartment Parking Lot,5300-5399,SAM HOUSTON,PKWY,N,1
2015-01-16,04,Burglary,7C50,Miscellaneous Business (Non-Specific),6000-6099,SAM HOUSTON,PKWY,N,1
2015-01-16,00,Theft,7C50,"Hotel, Motel, Inn, Etc.",15300-15399,JOHN F KENNEDY,BLVD,-,1
2015-01-17,07,Auto Theft,7C50,Apartment Parking Lot,5900-5999,GREENS,RD,-,1
2015-01-17,06,Robbery,7C50,Apartment Parking Lot,9300-9399,FM 1960,BYP,W,1
2015-01-16,11,Theft,7C50,Commercial Parking Lot or Garage,15400-15499,VANTAGE,PKWY,W,1
2015-01-16,15,Theft,7C50,Service or Gas Station,15800-15899,JOHN F KENNEDY,BLVD,-,1
2015-01-12,16,Auto Theft,7C50,Residence or House,16000-16099,ALDINE WESTFIELD,RD,-,1
2015-01-12,12,Burglary,7C50,Residence or House,14900-14999,HICKORYTEX,DR,-,1
2015-01-11,19,Theft,7C50,"Hotel, Motel, Inn, Etc.",15400-15499,JOHN F KENNEDY,BLVD,-,1
2015-01-12,08,Theft,7C50,Commercial Parking Lot or Garage,900-999,SAM HOUSTON,PKWY,N,1
2015-01-13,09,Auto Theft,7C50,Apartment Parking Lot,5300-5399,SAM HOUSTON,PKWY,N,1
2015-01-13,08,Burglary,7C50,"Vacant Storage Fac (Barn,Garage,Warehouse)",16400-16499,LUTHE,LN,-,1
2015-01-13,01,Auto Theft,7C50,Auto Repair,4700-4799,WORLD HOUSTON,PKWY,-,1
2015-01-14,20,Burglary,7C50,Apartment,15000-15099,CROSSWINDS,DR,-,1
2015-01-13,15,Auto Theft,7C50,Apartment Parking Lot,5900-5999,GREENS,RD,-,1
2015-01-14,08,Theft,7C50,Apartment Parking Lot,15100-15199,VICKERY,DR,-,1
2015-01-14,06,Theft,7C50,Apartment Parking Lot,6000-6099,GREENS,RD,-,1
2015-01-14,11,Aggravated Assault,7C50,Residence or House,19100-19199,SEARS,DR,-,1
2015-01-14,11,Theft,7C50,Apartment,6200-6299,GREENS,RD,-,1
2014-12-31,03,Burglary,8C10,"Multi-Plex Home (Duplex,Triplex Etc.)",9600-9699,HOMESTEAD,RD,-,1
2014-12-31,05,Burglary,8C10,Apartment,4100-4199,LYNNFIELD,-,-,1
2015-01-30,19,Robbery,8C10,Specialty Store (Non-Specific),9500-9599,HOMESTEAD,RD,-,1
2015-01-30,10,Theft,8C10,Other Parking Lot,4400-4499,BENNINGTON,ST,-,1
2015-01-30,14,Auto Theft,8C10,"Road, Street, or Sidewalk",10000-10099,HIRSCH,-,-,1
2014-08-15,10,Theft,8C10,Service or Gas Station,7100-7199,TIDWELL,RD,-,1
2014-11-08,09,Theft,8C10,Service or Gas Station,7100-7199,TIDWELL,RD,-,1
2014-11-29,10,Burglary,8C10,Residence or House,8800-8899,COMPTON,-,-,1
2015-01-31,17,Aggravated Assault,8C10,Residence or House,4400-4499,TAMPICO,-,-,1
2015-01-29,07,Theft,8C10,"Hotel, Motel, Inn, Etc.",9200-9299,LOCKWOOD,DR,-,1
2015-01-29,08,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-29,12,Burglary,8C10,"Vacant Single Occ Resd(House,Townhs,Dplex)",5200-5299,TRONEWOOD,-,-,1
2015-01-28,19,Theft,8C10,Strip Business Center Parking Lot,9500-9599,HOMESTEAD,RD,-,1
2015-01-28,13,Theft,8C10,Residence or House,8400-8499,LANEWOOD,ST,-,1
2015-01-28,12,Theft,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-26,14,Theft,8C10,Residence or House,8500-8599,SHADY,DR,-,1
2015-01-26,10,Auto Theft,8C10,Residence or House,4600-4699,IRELAND,-,-,1
2015-01-27,06,Burglary,8C10,Construction Site,4200-4299,BENNINGTON,ST,-,1
2015-01-27,17,Auto Theft,8C10,Strip Business Center Parking Lot,9500-9599,HOMESTEAD,RD,-,1
2015-01-27,20,Theft,8C10,Drug Store or Medical Supply,6600-6699,TIDWELL,RD,-,1
2015-01-27,22,Aggravated Assault,8C10,"Road, Street, or Sidewalk",4900-4999,DENMARK,ST,-,1
2015-01-22,07,Theft,8C10,Restaurant or Cafeteria,9500-9599,HOMESTEAD,RD,-,1
2015-01-21,20,Robbery,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
2015-01-21,20,Auto Theft,8C10,Apartment Parking Lot,9600-9699,HOMESTEAD,RD,-,1
2015-01-23,19,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-22,22,Theft,8C10,Convenience Store,4200-4299,CROSSTIMBERS,-,E,1
2015-01-25,08,Burglary,8C10,Apartment,9600-9699,HOMESTEAD,RD,-,1
2015-01-25,19,Aggravated Assault,8C10,Apartment Parking Lot,9500-9599,CROFTON,ST,-,1
