Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-11-03,12,Robbery,19G50,140,11200-11299,SOUTHWEST,FWY SER,N,1
2013-11-03,12,Robbery,10H50,18A,3300-3399,TRUXILLO,-,-,1
2013-11-03,09,Robbery,7C30,18O,3000-3099,TIDWELL,RD,-,1
2013-11-03,11,Robbery,17E10,140,6800-6899,SOUTHWEST,FWY SER,S,1
2013-11-02,21,Robbery,10H50,100,3800-3899,HOLMAN,-,-,1
2013-10-31,17,Robbery,6B30,18G,6400-6499,LITTLE YORK,RD,W,1
2013-11-03,10,Robbery,6B40,18C,1000-1099,GULF BANK,RD,W,1
2013-11-03,02,Robbery,16E20,13R,14400-14499,WATERLOO,DR,-,1
2013-11-03,02,Robbery,2A60,03B,1700-1799,18TH,ST,W,1
2013-11-03,01,Robbery,2A30,13R,2800-2899,NORHILL,BLVD,-,1
2013-11-03,01,Robbery,5F20,18T,8700-8799,HAMMERLY,-,-,1
2013-11-03,01,Robbery,18F50,18N,3800-3899,GESSNER,DR,S,1
2013-11-03,01,Robbery,18F50,13R,3400-3499,OCEE,RD,-,1
2013-11-03,00,Robbery,5F20,18C,3200-3299,CAMPBELL,RD,-,1
2013-11-03,00,Robbery,20G10,18A,5900-5999,RANCHESTER,DR,-,1
2013-11-02,21,Robbery,6B10,18T,6700-6799,AIRLINE,DR,-,1
2013-11-02,21,Robbery,20G10,20A,9700-9799,MEADOWGLEN,LN,-,1
2013-11-02,21,Robbery,6B60,18U,12300-12399,NORTH,FWY SER,E,1
2013-11-02,19,Robbery,6B60,13R,12600-12699,NORTHBOROUGH,DR,-,1
2013-11-02,19,Robbery,12D10,18A,9200-9299,NATHANIEL,ST,-,1
2013-11-05,19,Robbery,15E30,20D,3300-3399,MERRICK,-,-,1
2013-11-05,19,Robbery,17E20,13R,5600-5699,HAZEN,-,-,1
2013-11-05,20,Robbery,7C10,13R,5400-5499,SUEZ,-,-,1
2013-11-05,20,Robbery,19G30,20D,13000-13099,CLAREWOOD,DR,-,1
2013-11-02,19,Robbery,12D70,24E,1500-1599,BAY AREA,BLVD,W,1
2013-11-02,19,Robbery,17E40,13R,12200-12299,FONDREN,RD,-,1
2013-11-02,18,Robbery,14D20,13R,8400-8499,CULLEN,BLVD,-,1
2013-11-02,18,Robbery,14D20,13R,7500-7599,SCOTT,-,-,1
2013-11-01,22,Robbery,15E10,250,9900-9999,POST OAK,RD,S,1
2013-11-05,19,Robbery,15E10,13R,5100-5199,LOCH LOMOND,-,-,1
2013-11-05,21,Robbery,2A30,13R,1500-1599,NICHOLSON,-,-,1
2013-11-05,22,Robbery,5F10,18A,7700-7799,LONG POINT,RD,-,1
2013-11-05,22,Robbery,5F10,13R,1800-1899,WIRT,RD,-,1
2013-11-05,22,Robbery,18F60,13R,9000-9099,BEECHNUT,ST,-,1
2013-11-02,05,Robbery,19G40,20R,9100-9199,LEAMONT,-,-,1
2013-11-02,14,Robbery,6B20,210,6900-6999,T C JESTER,BLVD,-,1
2013-10-19,16,Robbery,19G40,18C,12200-12299,DAIRY ASHFORD,-,S,1
2013-11-02,05,Robbery,19G30,18A,7300-7399,CROWNWEST,ST,-,1
2013-11-02,05,Robbery,17E40,18A,14600-14699,FONMEADOW,DR,-,1
2013-11-02,04,Robbery,18F50,18N,9800-9899,WESTPARK,-,-,1
2013-11-02,04,Robbery,4F20,20R,5100-5199,PAGEWICK,DR,E,1
2013-11-02,04,Robbery,18F60,13B,7700-7799,BELLAIRE,BLVD,-,1
2013-11-02,04,Robbery,6B10,140,5600-5699,AIRLINE,DR,-,1
2013-11-02,03,Robbery,10H80,23S,5400-5499,KIRBY,DR,-,1
2013-11-02,02,Robbery,11H10,18N,8000-8099,HARRISBURG,BLVD,-,1
2013-11-02,02,Robbery,17E10,13R,6000-6099,RAMPART,-,-,1
2013-11-02,00,Robbery,2A50,20R,3400-3499,HOME,-,-,1
2013-11-01,23,Robbery,16E40,13R,5100-5199,RAVEN RIDGE,DR,-,1
2013-11-01,23,Robbery,20G30,250,3000-3099,DAIRY ASHFORD,-,S,1
2013-11-01,22,Robbery,6B10,13R,6200-6299,WERNER,ST,-,1
2013-11-06,21,Robbery,19G20,20D,8100-8199,RIPTIDE,DR,-,1
2013-11-01,21,Robbery,8C40,05D,8300-8399,MESA,DR,-,1
2013-11-01,19,Robbery,6B30,20A,3500-3599,LITTLE YORK,RD,W,1
2013-11-01,18,Robbery,6B60,18A,13000-13099,NORTHBOROUGH,DR,-,1
2013-11-01,16,Robbery,14D40,20A,5600-5699,SELINSKY,-,-,1
2013-11-01,16,Robbery,6B60,13R,0-99,GREENS,RD,-,1
2013-11-01,16,Robbery,14D30,18R,5700-5799,BELLFORT,ST,-,1
2013-11-01,16,Robbery,8C10,18C,4200-4299,CROSSTIMBERS,-,E,1
2013-11-01,15,Robbery,11H30,05Z,8300-8399,WINKLER,DR,-,1
2013-11-01,14,Robbery,17E40,13R,6500-6599,BELLFORT,ST,W,1
2013-11-01,14,Robbery,7C30,120,6900-6999,JENSEN,DR,-,1
2013-11-01,13,Robbery,1A20,20G,300-399,HAWTHORNE,-,-,1
2013-11-01,13,Robbery,11H10,05Z,6800-6899,HARRISBURG,BLVD,-,1
2013-11-01,12,Robbery,24C10,02B,1200-1299,KINGWOOD,DR,-,1
2013-11-01,12,Robbery,14D20,13R,8900-8999,CULLEN,BLVD,-,1
2013-11-01,09,Robbery,5F30,02B,13100-13199,NORTHWEST,FWY,-,1
2013-10-30,01,Robbery,12D20,20A,10800-10899,KINGSPOINT,-,-,1
2013-11-01,09,Robbery,18F40,13B,2600-2699,GESSNER,DR,S,1
2013-10-31,21,Robbery,14D30,13R,5700-5799,DOULTON,DR,-,1
2013-11-01,06,Robbery,12D50,02B,1200-1299,CLEAR LAKE CITY,BLVD,-,1
2013-11-01,04,Robbery,14D20,03B,9000-9099,COMAL,-,-,1
2013-11-01,03,Robbery,17E30,18A,8700-8799,GUSTINE,LN,-,1
2013-11-01,02,Robbery,1A20,13R,300-399,STRATFORD,-,-,1
2013-11-01,02,Robbery,12D30,18A,12500-12599,GREEN,DR,S,1
2013-11-01,01,Robbery,14D10,20D,3700-3799,YELLOWSTONE,BLVD,-,1
2013-11-01,00,Robbery,19G10,18A,9100-9199,COUNTRY CREEK,DR,-,1
2013-11-01,00,Robbery,15E30,140,9600-9699,MAIN,ST,-,1
2013-11-01,04,Robbery,11H40,13R,600-699,OGILVIE,AVE,-,1
2013-11-04,06,Robbery,9C40,18C,600-699,MAXEY,RD,-,1
