WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-18,04,Rape,1A20,20R,2100-2199,CROCKER,ST,-,1,
2010-09-29,12,Rape,3B10,13R,3000-3099,MAPLE GROVE,LN,-,1,
2010-09-14,14,Rape,17E10,13R,5800-5899,CLAREWOOD,DR,-,1,
2010-09-23,03,Rape,9C40,140,12700-12799,NIMITZ,-,-,1,
2010-06-19,21,Rape,7C10,20W,3100-3199,HARE,ST,-,1,
2010-09-05,04,Rape,19G10,13R,10000-10099,SPICE,LN,-,1,
2010-09-05,04,Rape,4F30,20A,1800-1899,BARKER CYPRESS,RD,-,1,
2010-09-18,02,Rape,20G60,140,14800-14899,KATY,FWY,-,1,
2010-09-24,19,Rape,19G50,140,10500-10599,BISSONNET,ST,-,1,
2010-09-09,16,Rape,15E10,13R,5300-5399,BEECHNUT,ST,-,1,
2000-01-01,00,Rape,16E40,20R,4700-4799,RIDGEROD,LN,-,1,
2010-09-20,08,Rape,7C30,20R,2800-2899,FIRNAT,-,-,1,
2010-09-09,12,Rape,20G40,20R,1500-1599,BEACONSHIRE,RD,-,1,
2010-09-03,00,Rape,16E20,20R,4300-4399,EBBTIDE,DR,-,1,
2010-08-29,10,Robbery,17E30,20A,8700-8799,BRAESWOOD,BLVD,S,1,
2010-09-02,23,Robbery,18F30,13R,3500-3599,FOUNTAIN VIEW,DR,-,1,
2010-09-03,00,Robbery,17E10,13R,5600-5699,GLENMONT,DR,-,1,
2010-09-02,20,Robbery,10H10,13R,5100-5199,HARRISBURG,BLVD,-,1,
2010-09-03,11,Robbery,5F20,250,2900-2999,BINGLE,RD,-,1,
2010-09-03,22,Robbery,1A30,13R,1500-1599,CALIFORNIA,-,-,1,
2010-09-04,05,Robbery,2A20,13R,1400-1499,NORTH LP,SER,S,1,
