WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-07,09,Burglary,18F50,20A,3200-3299,GESSNER,DR,S,1,
2010-08-30,12,Burglary,10H30,20G,2700-2799,DALLAS,ST,-,1,
2010-09-07,07,Burglary,13D20,20A,8700-8799,BROADWAY,ST,-,1,
2010-09-07,11,Burglary,3B50,20A,0-99,LYERLY,-,-,1,
2010-09-07,11,Burglary,12D10,20A,100-199,EDGEBROOK,DR,E,1,
2010-09-07,12,Burglary,12D10,20A,100-199,EDGEBROOK,DR,E,1,
2010-09-07,12,Burglary,12D40,20R,12500-12599,ADIRONDACK,DR,-,1,
2010-09-06,19,Burglary,3B10,040,4100-4199,SOUTHERLAND,RD,-,1,
2010-09-07,09,Burglary,1A50,20A,3600-3699,RICHMOND,AVE,-,1,
2010-09-07,08,Burglary,12D10,20R,600-699,SULPHUR,-,-,1,
2010-09-07,09,Burglary,4F10,20R,9800-9899,PINE LAKE,DR,-,1,
2010-09-07,06,Burglary,8C50,20R,9800-9899,DENNING,DR,-,1,
2010-09-06,08,Burglary,20G60,20R,14800-14899,LA QUINTA,LN,-,1,
2010-09-07,07,Burglary,18F50,20A,3700-3799,GESSNER,DR,S,1,
2010-09-07,10,Burglary,1A50,20A,3600-3699,RICHMOND,AVE,-,1,
2010-09-07,08,Burglary,16E30,20R,12600-12699,BURDINE,ST,-,1,
2010-09-07,07,Burglary,20G20,20A,1200-1299,WILCREST,DR,-,1,
2010-09-06,12,Burglary,1A50,20A,3900-3999,ESSEX,LN,-,1,
2010-09-07,09,Burglary,20G10,20A,9800-9899,RICHMOND,AVE,-,1,
2010-09-07,12,Burglary,6B50,20A,16000-16099,COTILLION,DR,-,1,
2010-09-07,10,Burglary,9C20,20R,800-899,SHOTWELL,-,-,1,
2010-09-06,21,Burglary,6B30,20A,6400-6499,ANTOINE,DR,-,1,
2010-09-07,14,Burglary,18F30,20A,6300-6399,SKYLINE,DR,-,1,
2010-09-06,18,Burglary,19G40,20R,9100-9199,KETCHWOOD,DR,-,1,
2010-09-07,12,Burglary,5F40,20A,12000-12099,GESSNER,DR,N,1,
2010-09-07,15,Burglary,1A20,20A,600-699,MAIN,ST,W,1,
2010-09-07,06,Burglary,7C30,20R,9500-9599,COAN,-,-,1,
2010-09-04,19,Burglary,17E10,20A,6600-6699,DUNLAP,ST,-,1,
2010-09-07,08,Burglary,5F40,20A,9100-9199,MILLS,RD,-,1,
2010-09-07,15,Burglary,20G80,20A,13100-13199,FALLSVIEW,LN,-,1,
2010-09-07,09,Burglary,12D50,20R,900-999,GRAND NUGGET,LN,-,1,
2010-09-07,07,Burglary,17E40,20A,6400-6499,AIRPORT,BLVD,W,1,
2010-09-07,07,Burglary,17E20,20A,10500-10599,FONDREN,RD,-,1,
2010-09-07,05,Burglary,10H50,20A,3300-3399,ALABAMA,ST,-,1,
2010-09-07,14,Burglary,7C30,20R,9600-9699,BURDEN,-,-,1,
2010-09-02,17,Burglary,3B40,20A,5000-5099,YALE,-,-,1,
2010-09-06,07,Burglary,19G50,20A,10100-10199,FORUM PARK,DR,-,1,
2010-09-07,16,Burglary,18F20,20A,2300-2399,SAGE,RD,-,1,
2010-08-20,07,Burglary,1A50,20A,5400-5499,NEWCASTLE,-,-,1,
2010-09-07,08,Burglary,12D60,20R,800-899,VOYAGER,DR,-,1,
2010-09-07,07,Burglary,7C40,20R,4000-4099,HAGE,-,-,1,
2010-09-07,04,Burglary,12D60,20R,800-899,RAMADA,DR,-,1,
2010-09-07,17,Burglary,15E10,20A,6500-6599,WANDA,LN,-,1,
2010-09-07,14,Burglary,18F30,20A,1900-1999,FOUNTAIN VIEW,DR,-,1,
2010-09-03,14,Burglary,7C20,20P,4500-4599,PICKFAIR,-,-,1,
2010-09-07,08,Burglary,20G60,20R,14900-14999,LA COSTA,LN,-,1,
2010-09-07,13,Burglary,19G10,20A,9300-9399,WOODFAIR,DR,-,1,
2010-09-07,15,Burglary,24C50,20A,200-299,KELLINGTON,DR,-,1,
2010-09-07,13,Burglary,12D70,190,15100-15199,GALVESTON,RD,-,1,
2010-09-04,17,Burglary,7C30,24P,1800-1899,CROSSTIMBERS,-,E,1,
2010-09-07,08,Burglary,20G30,20A,11200-11299,WESTPARK,-,-,1,
2010-09-04,16,Burglary,6B50,20G,16100-16199,IMPERIAL VALLEY,DR,-,1,
2010-09-07,08,Burglary,11H10,20A,1500-1599,SMALLWOOD,LN,-,1,
2010-09-07,06,Burglary,9C40,20R,13000-13099,KNOLLCREST,-,-,1,
2010-09-04,08,Burglary,20G70,20A,12600-12699,MEDFIELD,DR,-,1,
2010-09-07,19,Burglary,19G40,20A,13100-13199,BELLFORT,ST,W,1,
2010-09-07,10,Burglary,17E10,20A,6000-6099,ELM,ST,-,1,
2010-09-07,18,Burglary,10H10,20R,200-299,LENOX,ST,-,1,
2010-09-07,20,Burglary,12D10,20A,1200-1299,REDFORD,-,-,1,
2010-09-07,14,Burglary,20G30,20A,2800-2899,DAIRY ASHFORD,-,S,1,
2010-09-07,06,Burglary,20G10,20A,9800-9899,MEADOWGLEN,LN,-,1,
2010-09-07,06,Burglary,13D20,20A,8900-8999,GLENCREST,ST,-,1,
2010-09-07,21,Burglary,1A50,20R,4700-4799,BANNING,DR,-,1,
2010-09-07,17,Burglary,19G50,20A,10100-10199,FORUM PARK,DR,-,1,
2010-09-07,20,Burglary,19G10,20A,9400-9499,WOODFAIR,DR,-,1,
2010-09-07,23,Burglary,4F20,20G,9900-9999,KEMP FOREST,-,-,1,
2010-09-07,09,Burglary,6B50,20A,0-99,GOODSON,DR,-,1,
2010-09-08,03,Burglary,1A50,09D,4100-4199,SOUTHWEST,FWY,-,1,
2010-09-08,05,Burglary,13D20,210,7900-7999,BELLFORT,ST,-,1,
2010-09-08,06,Burglary,13D20,20A,8500-8599,BROADWAY,ST,-,1,
2010-09-07,23,Burglary,18F60,210,8800-8899,BELLAIRE,BLVD,-,1,
2010-09-07,16,Burglary,15E40,20R,2200-2299,NAOMI,-,-,1,
2010-09-07,07,Burglary,6B50,20A,100-199,DYNA,DR,-,1,
2010-09-08,07,Burglary,20G60,20A,800-899,COUNTRY PLACE,DR,-,1,
2010-09-07,22,Burglary,3B10,03B,2300-2399,MCALLISTER,RD,-,1,
2010-09-07,20,Burglary,16E20,20R,15700-15799,REDDY,LN,-,1,
2010-09-07,07,Burglary,19G30,080,4200-4299,COOK,RD,-,1,
2010-09-03,15,Burglary,10H10,05Y,6200-6299,NAVIGATION,BLVD,-,1,
2010-09-07,19,Burglary,1A30,250,2200-2299,RICHMOND,AVE,-,1,
2010-09-07,19,Burglary,6B60,20A,500-599,SEMINAR,DR,-,1,
2010-09-08,09,Burglary,20G30,20A,2800-2899,WALLINGFORD,DR,-,1,
2010-09-07,17,Burglary,2A60,05O,1900-1999,NORTH LP W,SER,S,1,
2010-09-08,09,Burglary,7C20,20R,4500-4599,HOFFMAN,-,-,1,
2010-09-07,20,Burglary,7C20,250,4300-4399,RUSSELL,-,-,1,
2010-09-08,07,Burglary,4F20,20A,2400-2499,WEST SAM HOUSTON,PKWY,N,1,
2010-09-07,20,Burglary,1A10,05O,1600-1699,SMITH,-,-,1,
2010-09-01,21,Burglary,20G30,20A,12600-12699,HOUSTON CENTER,BLVD,W,1,
2010-09-07,19,Burglary,19G50,20A,10400-10499,SOUTH,DR,-,1,
2010-09-08,08,Burglary,6B30,20R,7200-7299,RIDGE OAK,DR,-,1,
2010-09-07,18,Burglary,13D20,05Z,7800-7899,ROCKHILL,-,-,1,
2010-09-07,21,Burglary,1A20,250,100-199,GRAY,-,W,1,
2010-09-08,08,Burglary,19G50,20A,10800-10899,KIPP WAY,DR,-,1,
2010-09-07,19,Burglary,3B40,250,3400-3499,EUROPA,ST,-,1,
2010-09-07,23,Burglary,19G50,210,10200-10299,FORUM WEST,DR,-,1,
2010-09-04,10,Burglary,3B50,20R,8400-8499,FULTON,ST,-,1,
2010-09-03,20,Burglary,13D20,20A,8700-8799,BROADWAY,ST,-,1,
2010-09-07,23,Burglary,6B10,20R,10900-10999,HARDY,RD,W,1,
2010-09-08,12,Burglary,17E10,20A,6600-6699,DUNLAP,ST,-,1,
2010-09-08,13,Burglary,19G40,20R,10800-10899,SWAN GLEN,DR,-,1,
2010-09-08,09,Burglary,14D10,20R,7100-7199,ST AUGUSTINE,-,-,1,
2010-09-08,07,Burglary,6B30,20R,8800-8899,WOODCAMP,DR,-,1,
2010-09-08,15,Burglary,20G40,20A,2300-2399,CRESCENT PARK,DR,-,1,
2010-09-08,10,Burglary,19G10,20R,10500-10599,WENNINGTON,DR,-,1,
2010-09-08,07,Burglary,11H20,20R,7500-7599,LINDEN,-,-,1,
2010-09-08,10,Burglary,19G40,20R,10600-10699,BECKFIELD,DR,-,1,
2010-09-08,13,Burglary,19G50,20A,10400-10499,SOUTH,DR,-,1,
2010-09-07,09,Burglary,19G10,20C,9900-9999,SHARPCREST,-,-,1,
2010-09-08,08,Burglary,3B10,20A,4000-4099,34TH,ST,W,1,
2010-09-05,00,Burglary,2A30,20A,2100-2199,YALE,-,-,1,
2010-09-07,19,Burglary,13D20,20A,8900-8999,GLENCREST,ST,-,1,
2010-09-08,07,Burglary,11H40,20R,5100-5199,VINETT,ST,-,1,
2010-09-08,07,Burglary,17E40,20A,10800-10899,FONDREN,RD,-,1,
2010-09-05,19,Burglary,7C30,20R,9500-9599,BERKSHIRE,ST,-,1,
2010-09-08,06,Burglary,8C10,20R,8400-8499,BERTWOOD,ST,-,1,
2010-09-08,10,Burglary,19G30,20R,7100-7199,TREEWATER,DR,-,1,
2010-09-08,05,Burglary,19G40,20R,9900-9999,GOLDEN GLEN,DR,-,1,
2010-09-08,10,Burglary,19G10,20A,8500-8599,WEST SAM HOUSTON,PKWY,S,1,
2010-09-08,17,Burglary,13D40,20G,8000-8099,SWISS,LN,-,1,
2010-09-08,09,Burglary,3B10,20A,5800-5899,SUNFOREST,-,W,1,
2010-09-08,21,Burglary,6B10,13R,800-899,LITTLE YORK,RD,-,1,
2010-09-08,21,Burglary,10H70,20A,1800-1899,EWING,ST,-,1,
2010-09-07,22,Burglary,1A20,20G,1000-1099,RUTHVEN,-,-,1,
2010-09-08,06,Burglary,6B40,20A,7700-7799,BECKLEY,ST,-,1,
2010-09-08,22,Burglary,3B40,20A,600-699,HEIDRICH,AVE,-,1,
2010-09-08,23,Burglary,10H30,05Z,3100-3199,POLK,-,-,1,
2010-09-09,00,Burglary,6B30,20V,7000-7099,INWOOD PARK,DR,-,1,
2010-09-08,16,Burglary,20G30,20A,12400-12499,OXFORD PARK,DR,-,1,
2010-09-08,19,Burglary,12D60,20A,1600-1699,BAY AREA,BLVD,-,1,
2010-09-08,17,Burglary,19G40,20P,12700-12799,BEXLEY,DR,-,1,
2010-09-09,02,Burglary,17E30,20R,12500-12599,CHESSINGTON,DR,-,1,
2010-09-09,02,Burglary,19G20,210,6900-6999,WILCREST,DR,-,1,
2010-09-08,17,Burglary,13D10,05C,6300-6399,MAYFAIR,-,-,1,
2010-09-09,00,Burglary,14D40,070,11300-11399,MARTIN LUTHER KING,BLVD,-,1,
2010-09-09,04,Burglary,8C60,070,10900-10999,HOMESTEAD,RD,-,1,
2010-09-09,06,Burglary,2A30,20R,1000-1099,HEIGHTS,BLVD,-,1,
2010-09-08,09,Burglary,1A50,20A,2000-2099,WESTCREEK,LN,-,1,
2010-09-08,10,Burglary,1A50,20A,4800-4899,PIN OAK PARK,-,-,1,
2010-09-08,12,Burglary,17E10,20A,5900-5999,BISSONNET,ST,-,1,
2010-09-06,12,Burglary,1A30,20V,1300-1399,CASTLE,CT,-,1,
2010-09-08,17,Burglary,19G10,20A,9400-9499,WOODFAIR,DR,-,1,
2010-09-07,16,Burglary,16E30,20R,13700-13799,CANCUN,DR,W,1,
2010-09-08,03,Burglary,8C60,20R,6500-6599,SANDY OAKS,DR,-,1,
2010-09-08,05,Burglary,8C20,20R,5600-5699,LANDOR,-,-,1,
2010-09-08,07,Burglary,10H70,20A,1600-1699,HERMANN,DR,-,1,
2010-09-08,14,Burglary,10H80,20G,1600-1699,NORTH,BLVD,-,1,
2010-09-08,13,Burglary,17E30,20A,9700-9799,GESSNER,DR,S,1,
2010-09-08,15,Burglary,18F40,20A,2900-2999,DUNVALE,RD,-,1,
2010-09-08,07,Burglary,12D10,20A,9900-9999,WINDMILL LAKES,BLVD,-,1,
2010-09-08,13,Burglary,6B60,20A,16900-16999,NORTHCHASE,DR,-,1,
2010-09-08,06,Burglary,5F20,20A,2000-2099,LAVERNE,ST,-,1,
2010-09-08,08,Burglary,19G40,20R,9900-9999,LEAWOOD,BLVD,-,1,
2010-08-16,00,Burglary,14D30,190,6800-6899,SILSBEE,-,-,1,
2010-09-08,10,Burglary,18F30,20A,6000-6099,BEVERLYHILL,ST,-,1,
2010-09-08,14,Burglary,6B60,20A,13300-13399,NORTHBOROUGH,DR,-,1,
2010-09-08,07,Burglary,10H40,20A,2700-2799,TRAVIS,ST,-,1,
2010-09-08,11,Burglary,3B10,20R,6200-6299,LEAF ARBOR,-,-,1,
2010-09-08,01,Burglary,9C20,20R,1100-1199,GAZIN,-,-,1,
2010-09-08,09,Burglary,18F30,20A,6000-6099,BEVERLYHILL,ST,-,1,
2010-09-08,09,Burglary,9C40,20R,500-599,COOLWOOD,DR,-,1,
2010-09-07,22,Burglary,6B30,20A,5900-5999,BOLIVIA,BLVD,-,1,
2010-09-08,03,Burglary,12D30,20R,12400-12499,PALMWAY,-,-,1,
2010-09-08,09,Burglary,17E40,20C,6100-6199,DRYAD,DR,-,1,
2010-09-08,09,Burglary,7C10,20R,2300-2399,WACO,-,-,1,
2010-09-08,22,Burglary,8C60,080,10900-10999,HOMESTEAD,RD,-,1,
2010-09-08,18,Burglary,6B50,210,100-199,NORTHPOINT,DR,-,1,
2010-09-08,22,Burglary,1A50,250,4800-4899,RICHMOND,AVE,-,1,
2010-09-03,12,Burglary,14D20,20R,4600-4699,KNOXVILLE,-,-,1,
2010-09-08,18,Burglary,1A50,20A,4400-4499,WESTHEIMER,RD,-,1,
2010-09-08,18,Burglary,14D30,250,6300-6399,MARTIN LUTHER KING,BLVD,-,1,
2010-09-08,18,Burglary,20G60,250,1000-1099,COUNTRY PLACE,DR,-,1,
2010-09-07,16,Burglary,4F30,20A,1500-1599,SHERWOOD FOREST,ST,-,1,
2010-09-08,20,Burglary,19G40,20A,11700-11799,BISSONNET,ST,-,1,
2010-09-09,00,Burglary,3B40,05C,4300-4399,YALE,-,-,1,
2010-09-03,17,Burglary,16E10,060,12900-12999,REGAL OAKS BEND,LN,-,1,
2010-09-09,09,Burglary,1A20,20R,300-399,WELCH,-,-,1,
2010-09-08,18,Burglary,11H10,05C,2100-2199,WAYSIDE,-,S,1,
2010-09-08,19,Burglary,9C20,05C,500-599,HARBOR,ST,-,1,
2010-09-08,18,Burglary,17E40,190,12400-12499,FONDREN,RD,-,1,
2010-08-31,09,Burglary,8C20,20G,6700-6799,FINCH,ST,-,1,
2010-09-08,20,Burglary,17E10,20A,6600-6699,DUNLAP,ST,-,1,
2010-09-08,15,Burglary,8C40,20V,9000-9099,LINDA VISTA,RD,-,1,
2010-09-09,09,Burglary,11H40,20R,5500-5599,SWEETBRIAR,-,-,1,
2010-09-08,19,Burglary,13D20,05B,7900-7999,BELLFORT,ST,-,1,
2010-08-02,00,Burglary,8C60,20R,10400-10499,HOLLYGLEN,DR,-,1,
2010-09-03,12,Burglary,16E40,20V,16300-16399,TIBURON,WAY,-,1,
2010-09-09,11,Burglary,19G10,20A,9800-9899,CLUB CREEK,DR,-,1,
2010-09-09,09,Burglary,17E40,20A,12200-12299,FONDREN,RD,-,1,
2010-09-09,10,Burglary,8C60,20R,7200-7299,RHOBELL,-,-,1,
2010-09-09,07,Burglary,6B30,20A,6400-6499,ANTOINE,DR,-,1,
2010-09-09,12,Burglary,6B40,20R,1000-1099,ST CLAIR,-,-,1,
2010-09-09,13,Burglary,6B10,20R,1100-1199,GULF BANK,RD,-,1,
2010-09-09,10,Burglary,18F60,20R,8300-8399,GOLF GREEN,CIR,-,1,
2010-09-09,09,Burglary,17E10,20A,6600-6699,DUNLAP,ST,-,1,
2010-09-08,18,Burglary,10H10,20A,1900-1999,RUNNELS,-,-,1,
2010-09-07,13,Burglary,18F30,22H,11900-11999,CHIMNEY ROCK,RD,-,1,
2010-09-09,11,Burglary,20G50,20R,13600-13699,INDIAN CREEK,RD,-,1,
2010-09-09,07,Burglary,6B30,20A,6400-6499,ANTOINE,DR,-,1,
2010-09-08,19,Burglary,7C30,24P,10000-10099,ALDINE WESTFIELD,RD,-,1,
2010-09-08,14,Burglary,6B40,22D,1300-1399,GULF BANK,RD,W,1,
2010-09-08,20,Burglary,4F20,20R,11000-11099,HAMMERLY,-,-,1,
2010-09-09,10,Burglary,5F20,20A,3400-3499,CAMPBELL,RD,-,1,
2010-09-09,07,Burglary,20G10,20R,9900-9999,RICHMOND,AVE,-,1,
2010-09-09,09,Burglary,17E10,20A,6200-6299,GULFTON,-,-,1,
2010-09-09,08,Burglary,6B60,20A,13000-13099,NORTHBOROUGH,DR,-,1,
2010-09-09,15,Burglary,10H30,20R,1700-1799,ADEN,DR,-,1,
2010-09-09,09,Burglary,17E30,20R,8800-8899,KENNARD,DR,-,1,
2010-09-09,07,Burglary,12D10,20M,9300-9399,ALMEDA GENOA,RD,-,1,
2010-09-09,08,Burglary,20G70,20R,2800-2899,CREST PARK,DR,-,1,
2010-09-09,06,Burglary,6B60,20A,1000-1099,GREENS,RD,-,1,
2010-09-09,14,Burglary,6B10,20R,7800-7899,DEWVILLE,LN,-,1,
2010-09-07,21,Burglary,3B50,20R,200-299,WEISENBERGER,-,-,1,
2010-09-09,07,Burglary,20G70,20A,1900-1999,WESTMEAD,DR,-,1,
2010-09-06,22,Burglary,12D60,20G,16000-16099,DIANA,LN,-,1,
2010-09-09,07,Burglary,11H30,20R,8300-8399,GLENVIEW,DR,-,1,
2010-09-09,06,Burglary,11H20,20A,7500-7599,PLUM CREEK,DR,-,1,
2010-09-09,07,Burglary,2A30,20R,1300-1399,HARVARD,ST,-,1,
2010-09-09,08,Burglary,5F20,20R,9400-9499,DERRIK,DR,-,1,
2010-09-09,06,Burglary,16E30,20R,5500-5599,TIDEWATER,-,-,1,
2010-09-09,08,Burglary,19G50,20A,10100-10199,BISSONNET,ST,-,1,
2010-09-09,11,Burglary,17E40,20A,12500-12599,DUNLAP,ST,-,1,
2010-09-09,08,Burglary,3B10,20A,4000-4099,34TH,ST,W,1,
2010-09-09,09,Burglary,16E40,20R,5400-5499,REGAL RIDGE,LN,-,1,
2010-09-07,09,Burglary,20G50,20R,12400-12499,MOSSYCUP,DR,-,1,
2010-09-09,15,Burglary,2A30,20R,300-399,27TH,ST,W,1,
2010-09-09,07,Burglary,19G50,20A,10100-10199,WEST SAM HOUSTON,PKWY,S,1,
2010-09-09,06,Burglary,19G10,20C,9800-9899,CLUB CREEK,DR,-,1,
2010-09-08,19,Burglary,11H10,20A,900-999,VILLA DE MATEL,RD,-,1,
2010-09-08,21,Burglary,7C20,20A,5500-5599,COLLINGSWORTH,-,-,1,
2010-09-09,07,Burglary,3B10,20A,3200-3299,MANGUM,-,-,1,
2010-09-09,00,Burglary,20G30,20A,11800-11899,MEADOWGLEN,LN,-,1,
2010-09-09,11,Burglary,10H20,20A,4400-4499,WOODSIDE,ST,-,1,
2010-09-09,04,Burglary,6B60,20A,16800-16899,CITY VIEW,PL,-,1,
2010-09-09,09,Burglary,19G40,20R,8900-8999,DAIRY ASHFORD,-,S,1,
2010-09-09,18,Burglary,18F50,20A,5900-5999,BONHOMME,RD,-,1,
2010-09-09,15,Burglary,12D10,20A,10900-10999,GULF,FWY,-,1,
2010-09-10,00,Burglary,8C40,20R,9100-9199,LAZYDALE,LN,-,1,
2010-09-09,23,Burglary,3B50,20R,8100-8199,APPLETON,ST,-,1,
2010-09-10,04,Burglary,15E40,18N,9500-9599,MAIN,ST,-,1,
2010-09-10,04,Burglary,6B40,20R,900-999,CONKLIN,ST,-,1,
2010-09-09,07,Burglary,20G70,20A,1900-1999,WESTMEAD,DR,-,1,
2010-09-09,18,Burglary,5F20,040,1600-1699,BLALOCK,RD,-,1,
2010-09-09,20,Burglary,10H60,20G,3200-3299,BINZ,ST,-,1,
2010-09-10,06,Burglary,10H50,05F,2600-2699,CALLIE,-,-,1,
2010-09-09,18,Burglary,6B30,190,6400-6499,LITTLE YORK,RD,W,1,
2010-08-10,00,Burglary,19G40,20R,11800-11899,FAIRPOINT,DR,-,1,
2010-09-09,19,Burglary,13D20,250,6800-6899,WESTOVER,-,-,1,
2010-09-10,06,Burglary,8C30,20A,7300-7399,WAYSIDE,-,N,1,
2010-09-10,03,Burglary,17E40,250,6200-6299,LUDINGTON,DR,-,1,
2010-09-10,08,Burglary,1A40,20R,2400-2499,INWOOD,-,-,1,
2010-09-10,05,Burglary,17E40,20A,12200-12299,FONDREN,RD,-,1,
2010-09-09,13,Burglary,14D30,20R,5800-5899,SOUTHLEA,-,-,1,
2010-09-09,20,Burglary,3B50,24P,4700-4799,NORTH,FWY SER,E,1,
2010-09-09,23,Burglary,11H30,210,2800-2899,BROADWAY,ST,-,1,
2010-09-09,10,Burglary,18F60,20R,8800-8899,ROWAN,LN,-,1,
2010-09-09,20,Burglary,13D20,240,7700-7799,BELLFORT,ST,-,1,
2010-09-10,07,Burglary,1A30,20A,1500-1599,MARYLAND,-,-,1,
2010-09-10,08,Burglary,15E10,20R,5100-5199,CHEENA,DR,-,1,
2010-09-09,06,Burglary,19G50,20R,10800-10899,ENSBROOK,DR,-,1,
2010-09-10,09,Burglary,10H10,20A,1900-1999,RUNNELS,-,-,1,
2010-09-01,19,Burglary,6B50,20W,200-299,ALDINE BENDER,RD,-,1,
2010-09-10,05,Burglary,2A60,20A,1600-1699,T C JESTER,BLVD,E,1,
2010-09-10,09,Burglary,17E40,20R,6000-6099,BEAUDRY,DR,-,1,
2010-09-09,23,Burglary,20G80,140,3000-3099,HWY 6,-,S,1,
2010-09-07,18,Burglary,1A20,20G,0-99,WESTHEIMER,RD,-,1,
2010-09-03,18,Burglary,2A30,20A,2100-2199,YALE,-,-,1,
2010-09-10,10,Burglary,20G50,20C,12600-12699,RIP VAN WINKLE,-,-,1,
2010-09-10,09,Burglary,6B30,20R,7700-7799,BREEZEWAY,ST,-,1,
2010-09-10,10,Burglary,19G50,20A,10000-10099,FORUM WEST,DR,-,1,
2010-09-06,15,Burglary,16E30,20C,12200-12299,ORMANDY,-,-,1,
2010-09-10,14,Burglary,4F30,20A,1800-1899,BARKER CYPRESS,RD,-,1,
2010-09-10,12,Burglary,18F40,20A,7900-7999,LOCKE,LN,-,1,
2010-09-10,08,Burglary,15E30,20A,7500-7599,KIRBY,DR,-,1,
2010-08-27,15,Burglary,6B30,190,6400-6499,LITTLE YORK,RD,W,1,
2010-09-10,08,Burglary,2A30,20A,2100-2199,YALE,-,-,1,
2010-09-10,08,Burglary,7C10,20P,5200-5299,ARAPAHOE,ST,-,1,
2010-09-10,16,Burglary,6B60,20A,1000-1099,GREENS,RD,-,1,
2010-09-09,07,Burglary,6B50,20A,16200-16299,IMPERIAL VALLEY,DR,-,1,
2010-09-10,08,Burglary,20G50,20A,10700-10799,KATY,FWY,-,1,
2010-09-10,07,Burglary,18F60,20R,9400-9499,ROOS,-,-,1,
2010-09-09,19,Burglary,6B30,20A,6200-6299,TIDWELL,RD,W,1,
2010-09-10,06,Burglary,19G10,20R,10100-10199,REEDWOOD,LN,-,1,
2010-09-10,18,Burglary,3B30,20R,1400-1499,HEWITT,-,-,1,
2010-09-07,13,Burglary,8C40,20R,9900-9999,VALLEY LAKE,DR,-,1,
2010-09-10,13,Burglary,18F60,20R,8900-8999,HENDON,LN,-,1,
2010-09-10,07,Burglary,18F40,20A,9500-9599,ELLA LEE,LN,-,1,
2010-09-10,06,Burglary,24C10,20R,1900-1999,LAUREL SPRINGS,LN,-,1,
2010-09-10,11,Burglary,14D30,20R,5900-5999,LONGMEADOW,ST,-,1,
2010-09-09,08,Burglary,2A30,20A,800-899,HEIGHTS,BLVD,-,1,
2010-09-10,19,Burglary,19G50,20A,10200-10299,FORUM PARK,DR,-,1,
2010-09-10,10,Burglary,19G50,20A,10600-10699,SOUTH,DR,-,1,
2010-09-10,18,Burglary,19G40,20A,9700-9799,COURT GLEN,DR,-,1,
2010-09-09,18,Burglary,20G30,20A,3000-3099,WOODLAND PARK,DR,-,1,
2010-09-10,19,Burglary,19G40,20V,11600-11699,HERALD SQUARE,DR,-,1,
2010-09-10,08,Burglary,18F60,20C,7900-7999,PRESTWOOD,DR,-,1,
2010-09-10,07,Burglary,7C50,20A,9300-9399,FM 1960,-,-,1,
2010-09-10,20,Burglary,5F20,20R,8400-8499,MONTRIDGE,-,-,1,
2010-09-10,20,Burglary,19G40,20A,12000-12099,BISSONNET,ST,-,1,
2010-09-10,20,Burglary,19G40,20R,10500-10599,COOK,RD,-,1,
2010-09-10,08,Burglary,20G30,20A,3200-3299,WOODLAND PARK,DR,-,1,
2010-09-10,17,Burglary,11H20,20R,200-299,FENNELL,-,-,1,
2010-09-10,21,Burglary,20G30,20A,2800-2899,HAYES,RD,-,1,
2010-09-10,21,Burglary,3B50,20R,7800-7899,MELROSE,-,-,1,
2010-09-09,23,Burglary,20G40,20A,2200-2299,HAYES,RD,-,1,
2010-09-10,23,Burglary,18F60,210,8000-8099,GESSNER,DR,S,1,
2010-09-11,04,Burglary,10H60,03B,6500-6599,PEERLESS,-,-,1,
2010-09-10,21,Burglary,11H30,080,3100-3199,BROADWAY,ST,-,1,
2010-09-10,09,Burglary,10H30,20A,2100-2199,TEXAS,ST,-,1,
2010-09-10,18,Burglary,2A50,060,4300-4399,CHESTER,-,-,1,
2010-09-10,19,Burglary,15E30,250,3800-3899,WOODVALLEY,DR,-,1,
2010-09-10,18,Burglary,5F20,20A,1500-1599,MORITZ,-,-,1,
2010-09-10,20,Burglary,15E30,190,10200-10299,MAIN,ST,-,1,
2010-08-18,00,Burglary,24C30,20G,5900-5999,HEATHER BLOSSOM,LN,-,1,
2010-09-11,08,Burglary,18F60,20R,9300-9399,ROWAN,LN,-,1,
2010-08-11,00,Burglary,9C20,20V,2200-2299,WAYSIDE,-,N,1,
2010-09-11,09,Burglary,9C10,20R,400-499,CAROLINA,ST,N,1,
2010-09-11,12,Burglary,20G40,20R,2300-2399,GRAY FALLS,DR,-,1,
2010-09-11,01,Burglary,16E20,20R,13900-13999,FLEETWELL,DR,-,1,
2010-09-10,00,Burglary,2A60,20G,900-999,24TH,ST,W,1,
2010-09-11,07,Burglary,17E40,20A,8100-8199,CREEKBEND,DR,-,1,
2010-09-11,16,Burglary,5F30,20R,9800-9899,PORTO RICO,RD,-,1,
2010-09-07,12,Burglary,8C60,20R,10400-10499,HOMESTEAD,RD,-,1,
2009-09-15,13,Burglary,4F10,190,1000-1099,GESSNER,DR,-,1,
2010-09-11,10,Burglary,17E40,20A,11300-11399,FONDREN,RD,-,1,
2010-09-11,13,Burglary,20G80,20A,14500-14599,BRIAR FOREST,DR,-,1,
2010-09-10,00,Burglary,8C10,03B,5600-5699,LAURA KOPPE,RD,-,1,
2010-09-11,13,Burglary,20G20,20A,600-699,WEST SAM HOUSTON,PKWY,S,1,
2010-09-10,02,Burglary,20G30,20C,3000-3099,WALNUT BEND,LN,-,1,
2010-03-11,18,Burglary,2A10,22E,900-999,HAYS,-,-,1,
