Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-11-09,07,Burglary,10H20,Bar or Night Club,800-899,DUMBLE,ST,-,1
2014-11-10,17,Theft,10H30,Strip Business Center Parking Lot,2000-2099,BELL,ST,-,1
2014-11-25,20,Theft,10H30,"Road, Street, or Sidewalk",300-399,HUTCHINS,-,-,1
2014-11-22,03,Theft,10H30,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL,ST,-,1
2014-11-20,23,Theft,10H30,Other Parking Lot,1000-1099,SAINT EMANUEL,-,-,1
2014-11-15,23,Theft,10H30,Other Parking Lot,2200-2299,PRESTON,ST,-,1
2014-11-20,21,Theft,10H30,Construction Site,2900-2999,LEELAND,-,-,1
2014-11-26,23,Theft,10H30,Other Parking Lot,2100-2199,MCKINNEY,ST,-,1
2014-11-08,02,Theft,10H30,Other Parking Lot,2100-2199,MCKINNEY,ST,-,1
2014-11-08,16,Theft,10H30,Bar or Night Club Parking Lot,2000-2099,LEELAND,-,-,1
2014-11-12,10,Burglary,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",2500-2599,LAMAR,-,-,1
2014-11-05,07,Aggravated Assault,10H30,"Road, Street, or Sidewalk",500-599,DOWLING,ST,-,1
2014-11-29,08,Theft,10H30,"Road, Street, or Sidewalk",2800-2899,RUSK,ST,-,1
2014-11-09,14,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,BASTROP,ST,-,1
2014-11-09,17,Theft,10H30,Restaurant or Cafeteria Parking Lot,2100-2199,MCKINNEY,ST,-,1
2014-10-10,11,Theft,10H30,Residence or House,3100-3199,DALLAS,ST,-,1
2014-11-15,01,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL,ST,-,1
2014-11-15,15,Theft,10H30,Other Parking Lot,600-699,SAINT EMANUEL,ST,-,1
2014-11-15,21,Theft,10H30,Commercial Parking Lot or Garage,2000-2099,PRESTON,ST,-,1
2014-11-27,20,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,POLK,-,-,1
2014-11-20,05,Theft,10H30,Commercial Parking Lot or Garage,1700-1799,VELASCO,-,-,1
2014-11-16,23,Theft,10H30,Other Parking Lot,500-599,ST EMANUEL,-,-,2
2014-11-17,15,Theft,10H30,Residence or House,800-899,ST EMANUEL,-,-,1
2014-11-10,14,Burglary,10H30,Commercial Building,1800-1899,EDMUNDSON,ST,-,1
2014-11-14,18,Theft,10H30,Commercial Parking Lot or Garage,2300-2399,CONGRESS,-,-,1
2014-11-15,02,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL,ST,-,1
2014-11-20,16,Theft,10H30,Miscellaneous Business (Non-Specific),400-499,DOWLING,ST,-,1
2014-11-14,00,Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL,ST,-,1
2014-11-07,12,Theft,10H30,Garage or Carport,2200-2299,MCKINNEY,ST,-,1
2014-11-03,08,Theft,10H30,Construction Site,700-799,NAGLE,-,-,1
2014-11-05,07,Theft,10H30,"Road, Street, or Sidewalk",3100-3199,DALLAS,ST,-,1
2014-11-15,09,Theft,10H30,Strip Business Center Parking Lot,1000-1099,SAINT EMANUEL,ST,-,1
2014-11-15,15,Auto Theft,10H30,Bar or Night Club,2300-2399,PEASE,-,-,1
2014-10-31,01,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY,ST,-,1
2014-11-11,12,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,JEFFERSON,ST,-,1
2014-11-15,02,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL,ST,-,1
2014-11-21,02,Auto Theft,10H30,"Road, Street, or Sidewalk",2300-2399,MCKINNEY,ST,-,1
2014-11-22,01,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,CONGRESS,-,-,1
2014-11-22,02,Theft,10H30,"Road, Street, or Sidewalk",900-999,DOWLING,ST,-,1
2014-11-20,08,Aggravated Assault,10H40,"Road, Street, or Sidewalk",900-999,ALABAMA,ST,-,1
2014-11-16,10,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-26,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-29,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-22,14,Theft,10H40,"Road, Street, or Sidewalk",4000-4099,FANNIN,ST,-,1
2014-11-22,16,Auto Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,2
2014-11-24,13,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-11-13,07,Theft,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2014-11-12,08,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-09,14,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-10-25,11,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1800-1899,GRAY,-,-,1
2014-11-01,17,Auto Theft,10H40,"Road, Street, or Sidewalk",700-799,ANITA,ST,-,1
2014-11-01,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-02,04,Auto Theft,10H40,"Road, Street, or Sidewalk",1000-1099,MCILHENNY,ST,-,1
2014-11-16,04,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,MILAM,-,-,1
2014-11-17,03,Theft,10H40,"Road, Street, or Sidewalk",2900-2999,TRAVIS,-,-,1
2014-11-26,13,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-11-27,16,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,-,-,1
2014-11-28,05,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
2014-11-24,12,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-11-09,11,Auto Theft,10H40,"Road, Street, or Sidewalk",2900-2999,FANNIN,ST,-,1
2014-11-11,19,Theft,10H40,Other Parking Lot,3000-3099,MILAM,-,-,1
2014-11-02,17,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,HOLMAN,-,-,1
2014-11-03,11,Theft,10H40,Residence or House,3500-3599,MOSLEY,CT,-,1
2014-11-04,08,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3400-3499,FANNIN,-,-,1
2014-11-04,09,Theft,10H40,Commercial Parking Lot or Garage,2400-2499,MILAM,-,-,1
2014-11-05,11,Theft,10H40,Restaurant or Cafeteria Parking Lot,3000-3099,CAROLINE,ST,-,1
2014-11-04,19,Theft,10H40,,2000-2099,MAIN,ST,-,1
2014-11-07,08,Theft,10H40,Commercial Parking Lot or Garage,1200-1299,ANITA,ST,-,1
2014-11-03,09,Theft,10H40,Office Building,2800-2899,SAN JACINTO,-,-,1
2014-11-18,18,Theft,10H40,Other Parking Lot,4100-4199,FANNIN,-,-,1
2014-11-14,12,Theft,10H40,"Other, Unknown, or Not Listed",2400-2499,SAN JACINTO,-,-,1
2014-11-21,09,Theft,10H40,Miscellaneous Business (Non-Specific),2600-2699,CAROLINE,ST,-,1
2014-11-22,16,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-11-24,15,Robbery,10H40,Residence or House,1100-1199,ALABAMA,ST,-,1
2014-11-30,19,Theft,10H40,Bar or Night Club,2800-2899,MILAM,-,-,1
2014-11-08,22,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
2014-11-11,07,Theft,10H40,Restaurant or Cafeteria Parking Lot,3000-3099,MILAM,-,-,1
2014-11-12,09,Auto Theft,10H40,Apartment Parking Lot,1600-1699,HOLMAN,-,-,1
2014-11-13,14,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2014-11-14,13,Theft,10H40,Bar or Night Club,3200-3299,TRAVIS,-,-,1
2014-11-05,11,Theft,10H40,Restaurant or Cafeteria,2000-2099,MAIN,ST,-,1
2014-11-03,01,Theft,10H40,"Road, Street, or Sidewalk",800-899,DENNIS,ST,-,1
2014-11-03,07,Theft,10H40,Restaurant or Cafeteria Parking Lot,2700-2799,MILAM,-,-,1
2014-11-03,13,Theft,10H40,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN,ST,-,1
2014-11-15,11,Theft,10H40,,2600-2699,FANNIN,-,-,1
2014-11-15,17,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2014-11-20,13,Theft,10H40,Residence or House,3300-3399,AUSTIN,ST,-,1
2014-11-21,07,Aggravated Assault,10H40,Service or Gas Station,400-499,RICHMOND,AVE,-,1
2014-11-25,19,Theft,10H40,Restaurant or Cafeteria,2100-2199,MAIN,ST,-,1
2014-11-25,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-30,02,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1000-1099,HADLEY,ST,-,1
2014-11-17,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-18,14,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-,1
2014-11-21,11,Theft,10H40,Restaurant or Cafeteria,4300-4399,FANNIN,-,-,1
2014-11-24,22,Aggravated Assault,10H40,Light Rail Platform,3600-3699,MAIN,ST,-,1
2014-11-25,16,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,FANNIN,-,-,1
2014-11-01,13,Theft,10H40,,2200-2299,CRAWFORD,ST,-,1
2014-11-03,02,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,HADLEY,ST,-,1
2014-11-03,20,Robbery,10H40,"Road, Street, or Sidewalk",1200-1299,ELGIN,ST,-,1
2014-11-05,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
2014-11-06,18,Auto Theft,10H40,Mall Parking Lot,1100-1199,WHEELER,-,-,1
2014-11-09,09,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,FANNIN,-,-,1
2014-11-08,10,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-10,15,Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-11-30,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-30,19,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-24,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-23,09,Theft,10H40,"Road, Street, or Sidewalk",UNK,BERRY,ST,-,1
2014-11-23,15,Theft,10H40,"Road, Street, or Sidewalk",900-999,HADLEY,ST,-,1
2014-11-19,16,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-11-14,18,Theft,10H40,Apartment,2700-2799,TRAVIS,-,-,1
2014-11-05,04,Theft,10H40,Other Parking Lot,3500-3599,MILAM,-,-,1
2014-11-05,12,Theft,10H40,Bus Stop,3400-3499,FANNIN,ST,-,1
2014-11-06,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-03,17,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-11-03,06,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,MCGOWEN,ST,-,1
2014-11-03,08,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-13,00,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,MILAM,-,-,1
2014-11-13,03,Robbery,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN,ST,-,1
2014-11-10,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-07,16,Auto Theft,10H40,"Road, Street, or Sidewalk",1200-1299,MCGOWEN,ST,-,1
2014-11-09,21,Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-,-,1
2014-11-05,09,Theft,10H40,Commercial Parking Lot or Garage,3000-3099,CAROLINE,ST,-,1
2014-11-06,14,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3300-3399,MAIN,ST,-,1
2014-11-01,11,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-11-02,10,Theft,10H40,"Road, Street, or Sidewalk",2400-2499,FANNIN,-,-,1
2014-11-24,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-22,12,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,JACKSON,-,-,1
2014-11-23,01,Robbery,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-,1
2014-11-20,18,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-11-18,20,Robbery,10H40,"Road, Street, or Sidewalk",1100-1199,ALABAMA,ST,-,1
2014-11-19,17,Theft,10H40,University or College,1300-1399,ALABAMA,ST,-,1
2014-11-16,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-14,16,Theft,10H40,Light Rail (Metro Rail) Vehicle,1000-1099,ALABAMA,ST,-,1
2014-11-24,22,Theft,10H40,Bar or Night Club Parking Lot,1000-1099,MCGOWEN,ST,-,1
2014-11-11,08,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,MAIN,ST,-,1
2014-11-05,16,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-11-05,17,Robbery,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-06,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-11-30,13,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2014-11-03,16,Robbery,10H50,"Hotel, Motel, Inn, Etc.",2600-2699,NAPOLEON,-,-,1
2014-11-04,22,Robbery,10H50,"Road, Street, or Sidewalk",2800-2899,VELASCO,-,-,1
2014-10-31,18,Burglary,10H50,Residence or House,3100-3199,SAINT EMANUEL,ST,-,1
2014-11-11,14,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,MCGOWEN,ST,-,1
2014-11-13,10,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,MCGOWEN,ST,-,1
2014-11-13,13,Theft,10H50,Residence or House,2800-2899,FRANCIS,ST,-,1
2014-11-25,11,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3100-3199,ROSALIE,-,-,1
2014-11-27,12,Burglary,10H50,"Other, Unknown, or Not Listed",2100-2199,GRAY,-,-,1
2014-11-15,08,Theft,10H50,Garage or Carport,2100-2199,FRANCIS,ST,-,1
2014-11-19,10,Theft,10H50,Bank,4800-4899,CALHOUN,RD,-,1
2014-11-20,19,Robbery,10H50,Strip Business Center Parking Lot,2400-2499,FRANCIS,ST,-,1
2014-11-23,20,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2700-2799,NAPOLEON,-,-,1
2014-11-27,10,Aggravated Assault,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3500-3599,MCILHENNY,ST,-,1
2014-11-27,18,Aggravated Assault,10H50,Convenience Store,3200-3299,HOLMAN,-,-,1
2014-11-01,22,Theft,10H50,Apartment Parking Lot,3900-3999,ANITA,ST,-,1
2014-11-03,23,Theft,10H50,Apartment,2300-2399,CLEBURNE,ST,-,1
2014-11-09,19,Aggravated Assault,10H50,Residence or House,2400-2499,SAMPSON,-,-,2
2014-11-14,15,Theft,10H50,Restaurant or Cafeteria Parking Lot,3800-3899,SCOTT,-,-,1
2014-11-11,15,Burglary,10H50,Residence or House,2100-2199,WINBERN,-,-,1
2014-07-22,07,Theft,10H50,Residence or House,3200-3299,SIMMONS,-,-,1
2014-11-03,13,Theft,10H50,"Road, Street, or Sidewalk",2200-2299,BASTROP,ST,-,1
2014-11-03,22,Theft,10H50,Apartment,2300-2399,CLEBURNE,ST,-,1
2014-11-03,23,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2200-2299,ST EMANUEL,ST,-,1
2014-11-05,01,Auto Theft,10H50,Hotel or Motel Parking Lot,2600-2699,TRUXILLO,-,-,1
2014-11-17,22,Robbery,10H50,Driveway,3600-3699,HUTCHINS,-,-,1
2014-11-25,21,Robbery,10H50,"Road, Street, or Sidewalk",2700-2799,NAPOLEON,-,-,1
2014-11-29,19,Robbery,10H50,Restaurant or Cafeteria,3300-3399,SCOTT,-,-,1
2014-11-13,00,Aggravated Assault,10H50,"Field, Woods, Forest, Park",3400-3499,TUAM,-,-,1
2014-11-13,14,Theft,10H50,"Libraries, Museums",3600-3699,SCOTT,-,-,1
2014-11-06,13,Theft,10H50,Residence or House,3400-3499,BASTROP,ST,-,1
2014-11-02,21,Theft,10H50,Specialty Store (Non-Specific),2300-2399,ELGIN,ST,-,1
2014-11-02,13,Theft,10H50,University or College,4100-4199,ELGIN,ST,-,1
2014-11-22,13,Theft,10H50,Office Building,3800-3899,HOLMAN,-,-,1
2014-11-28,08,Burglary,10H50,Apartment,3700-3799,TIERWESTER,-,-,1
2014-11-21,23,Aggravated Assault,10H50,Apartment,UNK,2 TUAM,-,-,1
2014-11-23,03,Auto Theft,10H50,"Road, Street, or Sidewalk",2800-2899,SCOTT,-,-,1
2009-05-24,09,Murder,10H50,Residence or House,3000-3099,TRUXILLO,-,-,1
