Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-06-01,04,Robbery,3B10,13R,5700-5799,GARDENDALE,DR,-,1
2011-06-01,10,Robbery,7C10,18G,3300-3399,LYONS,-,-,1
2011-06-01,11,Robbery,6B20,18G,6800-6899,MONTGOMERY,RD,W,1
2011-06-01,18,Robbery,20G80,080,2500-2599,HWY 6,-,S,1
2011-06-01,21,Robbery,20G30,18A,2600-2699,WOODLAND PARK,DR,-,1
2011-06-02,06,Robbery,4F30,20A,1500-1599,SHERWOOD FOREST,ST,-,1
2011-06-02,06,Robbery,6B40,20A,700-799,LITTLE YORK,RD,W,1
2011-06-02,11,Robbery,14D30,20D,7300-7399,IWO JIMA,RD,-,1
2011-06-02,11,Robbery,9C40,18T,12000-12099,EAST,FWY,-,1
2011-05-28,03,Robbery,13D20,18S,9000-9099,AIRPORT,BLVD,-,1
2011-06-03,15,Robbery,15E10,080,700-799,MEYERLAND PLAZA,-,-,1
2011-06-03,16,Robbery,6B30,18A,5300-5399,GULF BANK,RD,W,1
2011-06-03,21,Robbery,5F30,100,10100-10199,PORTO RICO,RD,-,1
2011-06-04,05,Robbery,17E20,13R,7500-7599,SOUTHWEST,FWY,-,1
2011-06-04,05,Robbery,14D30,13B,8100-8199,MARTIN LUTHER KING,BLVD,-,1
2011-06-04,09,Robbery,10H60,13R,5400-5499,LIVE OAK,-,-,1
2011-06-04,03,Robbery,9C40,18A,12200-12299,FLEMING,DR,-,1
2011-06-04,22,Robbery,6B60,18A,600-699,RUSHCREEK,DR,-,1
2011-06-05,00,Robbery,9C20,03B,6300-6399,ALDERSON,-,-,1
2011-06-05,01,Robbery,18F40,18A,7900-7999,LOCKE,LN,-,1
2011-06-05,03,Robbery,5F40,24A,13100-13199,WILLOW CHASE,DR,-,1
2011-06-05,21,Robbery,6B10,20L,900-999,TIDWELL,RD,-,1
2011-06-06,01,Robbery,18F40,18A,2900-2999,DUNVALE,RD,-,1
2011-06-06,10,Robbery,10H50,070,2500-2599,MCGOWEN,ST,-,1
2011-06-06,10,Robbery,4F20,13R,10300-10399,RICHMOND HILL,DR,-,1
2011-06-06,12,Robbery,19G30,20D,6200-6299,MILFOIL,LN,-,1
2011-06-05,09,Robbery,2A10,13R,1000-1099,COLLINGSWORTH,-,-,1
2011-06-06,20,Robbery,3B40,13H,2900-2999,AIRLINE,DR,-,1
2011-06-06,23,Robbery,13D10,18A,2400-2499,LIDSTONE,-,-,1
2011-06-03,00,Robbery,17E10,250,6000-6099,GLENMONT,DR,-,1
2011-06-02,23,Robbery,6B10,250,6200-6299,AIRLINE,DR,-,1
2011-06-06,23,Robbery,20G30,18A,3100-3199,HAYES,RD,-,1
2011-06-02,23,Robbery,12D70,250,600-699,PINELOCH,DR,-,1
2011-06-02,21,Robbery,4F10,13R,1500-1599,WITTE,RD,-,1
2011-06-02,19,Robbery,17E10,18A,5500-5599,EL CAMINO DEL REY,-,-,1
2011-06-02,18,Robbery,13D20,18A,8700-8799,BROADWAY,ST,-,1
2011-06-02,19,Robbery,7C40,20D,2100-2199,CHARLES,RD,-,1
2011-06-02,17,Robbery,1A20,09D,400-499,GRAY,-,-,1
2011-06-01,15,Robbery,19G20,09D,12200-12299,BELLAIRE,BLVD,-,1
2011-06-02,15,Robbery,15E20,13R,10800-10899,MULLINS,DR,-,1
2011-06-02,12,Robbery,8C30,080,9200-9299,WAYSIDE,-,N,1
2011-06-02,08,Robbery,14D40,13R,12500-12599,SAFEGUARD,-,-,1
2011-06-06,23,Robbery,7C10,13R,2400-2499,LOCKWOOD,DR,-,1
2011-06-07,15,Robbery,17E10,20A,5400-5499,CHIMNEY ROCK,RD,-,1
2011-06-02,03,Robbery,9C20,20R,7200-7299,VICTORIA,ST,-,1
2011-05-30,13,Robbery,19G50,20A,10600-10699,WILCREST,DR,-,1
2011-06-02,04,Robbery,2A60,23S,2000-2099,18TH,ST,W,1
2011-06-07,21,Robbery,19G20,20A,4400-4499,BOONE,RD,-,1
2011-06-07,22,Robbery,19G20,18A,11400-11499,BEECHNUT,ST,-,1
2011-06-07,22,Robbery,7C20,13R,6600-6699,HIRSCH,RD,-,1
2011-06-02,04,Robbery,17E10,20A,7000-7099,HILLCROFT,-,-,1
2011-06-02,04,Robbery,6B50,18R,100-199,HARDWICKE,RD,-,1
2011-06-02,03,Robbery,5F40,24A,13100-13199,WILLOW CHASE,DR,-,1
2011-06-08,01,Robbery,18F40,18A,2400-2499,VOSS,RD,S,1
2011-06-08,01,Robbery,5F40,24A,13100-13199,WILLOW CHASE,DR,-,1
2011-06-08,01,Robbery,20G70,18A,3900-3999,SYNOTT,RD,-,1
2011-06-08,02,Robbery,15E40,18P,2500-2599,BELLFORT,ST,-,1
2011-06-02,02,Robbery,13D20,20A,8800-8899,GLENCREST,ST,-,1
2011-06-08,03,Robbery,14D20,20A,3800-3899,FAULKNER,ST,-,1
2011-06-02,01,Robbery,10H50,13R,2600-2699,NAPOLEON,-,-,1
2011-06-01,23,Robbery,6B50,18A,16300-16399,IMPERIAL VALLEY,DR,-,1
2011-06-08,03,Robbery,1A20,13R,400-499,RICHMOND,AVE,-,1
2011-06-01,22,Robbery,13D20,13R,8700-8799,BROADWAY,ST,-,1
2011-06-01,22,Robbery,12D20,070,11000-11099,SOUTH SAM HOUSTON,PKWY,E,1
2011-06-01,21,Robbery,19G50,18A,10100-10199,FORUM PARK,DR,-,1
2011-06-01,20,Robbery,6B30,18A,5400-5499,GULF BANK,RD,W,1
2011-06-01,19,Robbery,18F40,18A,8100-8199,RICHMOND,AVE,-,1
2010-10-13,23,Robbery,18F40,18A,2600-2699,LAZY HOLLOW,DR,-,1
2011-06-08,14,Robbery,6B10,13H,11000-11099,HARDY,RD,W,1
2011-06-01,16,Robbery,7C40,23S,2200-2299,PARKER,RD,-,1
2011-05-23,22,Robbery,18F60,18R,9600-9699,BELLAIRE,BLVD,-,1
2011-06-01,13,Robbery,20G30,18A,2700-2799,DAIRY ASHFORD,-,S,1
2011-06-01,11,Robbery,7C20,13R,2300-2399,DES CHAUMES,ST,-,1
2011-06-01,10,Robbery,9C20,18C,600-699,MCCARTY,-,-,1
2011-06-08,21,Robbery,2A60,070,2000-2099,18TH,ST,W,1
2011-06-08,22,Robbery,19G30,20D,7300-7399,COOK,RD,-,1
2011-06-01,04,Robbery,11H30,20R,3500-3599,BROADWAY,ST,-,1
2011-06-08,23,Robbery,1A20,070,300-399,ALABAMA,ST,W,1
2011-06-08,23,Robbery,14D30,160,7600-7699,SOUTHBANK,-,-,1
2011-06-01,03,Robbery,17E20,18A,7100-7199,BEECHNUT,ST,-,1
2011-06-09,05,Robbery,2A60,070,2000-2099,18TH,ST,W,1
2011-06-09,07,Robbery,15E30,13R,4800-4899,BELLFORT,ST,W,1
2011-06-09,08,Robbery,15E20,18R,10400-10499,POST OAK,RD,S,1
2011-06-01,02,Robbery,10H20,13R,4000-4099,GULF,FWY,-,1
2011-05-31,23,Robbery,10H40,18C,2100-2199,FANNIN,-,-,1
2011-06-01,00,Robbery,20G80,20A,14900-14999,RICHMOND,AVE,-,1
2011-06-06,23,Robbery,13D10,18O,7300-7399,LONG,DR,-,1
2011-06-09,14,Robbery,19G50,18G,11500-11599,WILCREST,DR,S,1
2011-06-06,17,Robbery,1A30,18O,3700-3799,GREENBRIAR,DR,-,1
2011-06-09,16,Robbery,19G10,20A,7500-7599,CORPORATE,DR,-,1
2011-06-06,11,Robbery,15E30,250,4600-4699,BRAESWOOD,BLVD,S,1
2011-06-06,11,Robbery,6B40,18O,9400-9499,NORTH,FWY SER,W,1
2011-06-09,18,Robbery,14D30,20R,5900-5999,SOUTHWIND,-,-,1
2011-06-05,23,Robbery,8C60,13R,10000-10099,HOMESTEAD,RD,-,1
2011-06-09,21,Robbery,14D30,18C,6900-6999,MARTIN LUTHER KING,BLVD,-,1
2011-06-06,01,Robbery,6B50,18G,11300-11399,AIRLINE,DR,-,1
2011-06-09,22,Robbery,4F10,18P,1500-1599,WITTE,RD,-,1
2011-06-05,18,Robbery,10H20,20A,4600-4699,WALKER,ST,-,1
2011-06-09,22,Robbery,17E10,18A,5400-5499,CHIMNEY ROCK,RD,-,1
2011-06-05,21,Robbery,10H50,20R,3400-3499,REEVES,-,-,1
2011-06-05,20,Robbery,6B60,13R,12300-12399,KUYKENDAHL,RD,-,1
2011-06-05,16,Robbery,17E20,20A,9100-9199,FONDREN,RD,-,1
2011-06-05,15,Robbery,10H40,080,1000-1099,ELGIN,ST,-,1
2011-06-10,03,Robbery,5F30,13R,5200-5299,LANGFIELD,RD,-,1
2011-06-05,14,Robbery,6B10,210,100-199,PARKER,RD,E,1
2011-06-10,04,Robbery,14D30,20R,5000-5099,RAPIDO,RD,-,1
2011-06-10,04,Robbery,6B60,13R,500-599,SEMINAR,DR,-,1
2011-06-10,04,Robbery,5F30,13R,7200-7299,PINEMONT,DR,-,1
2011-06-10,06,Robbery,3B10,18A,4600-4699,34TH,ST,W,1
2011-06-02,18,Robbery,15E30,18A,3900-3999,OMEARA,DR,-,1
2011-06-05,12,Robbery,16E20,20R,4800-4899,DANFIELD,DR,-,1
2011-06-05,07,Robbery,7C20,13R,2700-2799,COLLINGSWORTH,-,-,1
2011-06-10,07,Robbery,5F30,18A,8000-8099,TIDWELL,RD,W,1
2011-06-05,07,Robbery,10H70,18O,5200-5299,ALMEDA,RD,-,1
2011-06-10,06,Robbery,5F30,18A,7500-7599,PINEMONT,DR,-,1
2011-06-05,06,Robbery,19G10,18A,9900-9999,SHARPCREST,-,-,1
2011-06-05,02,Robbery,9C20,18C,1700-1799,MCCARTY,-,-,1
2011-06-05,05,Robbery,6B60,13R,17400-17499,IMPERIAL VALLEY,DR,-,1
2011-06-10,22,Robbery,6B30,18A,5300-5399,GULF BANK,RD,W,1
2011-06-10,22,Robbery,16E40,080,3700-3799,MCHARD,RD,-,1
2011-06-05,03,Robbery,13D10,13R,100-199,WINKLER,DR,-,1
2011-06-05,00,Robbery,20G60,13R,14700-14799,BARRYKNOLL,LN,-,1
2011-06-04,23,Robbery,6B30,18A,5800-5899,NORTH HOUSTON ROSSLYN,RD,-,1
2011-06-04,22,Robbery,9C40,23S,1200-1299,UVALDE,RD,-,1
2011-06-04,22,Robbery,9C20,20D,6900-6999,BOYCE,ST,-,1
2011-06-11,03,Robbery,20G60,05D,14400-14499,MACKILSEE,DR,-,1
2011-06-04,17,Robbery,7C40,20R,4600-4699,TERRELL,-,-,1
2011-06-04,16,Robbery,17E30,18A,8700-8799,GUSTINE,LN,-,1
2011-06-03,23,Robbery,5F20,18A,8600-8699,PITNER,-,-,1
2011-06-04,07,Robbery,3B10,20A,6000-6099,SUNFOREST,-,-,1
2011-06-04,04,Robbery,6B20,13R,1000-1099,TIDWELL,RD,W,1
2011-06-04,02,Robbery,9C40,18N,12500-12599,MARKET,ST,-,1
2011-06-11,15,Robbery,16E30,170,14100-14199,MAIN,ST,-,1
2011-06-04,00,Robbery,17E30,18A,8900-8999,BISSONNET,ST,-,1
2011-06-11,19,Robbery,6B10,13R,200-299,SPREADING OAK,DR,E,1
2011-06-11,21,Robbery,16E40,20D,5200-5299,CASTLECREEK,LN,-,1
2011-06-11,21,Robbery,17E40,13R,12500-12599,DUNLAP,ST,-,1
2011-06-04,00,Robbery,11H20,13R,1300-1399,HEBERT,-,-,1
2011-06-04,00,Robbery,6B40,18C,500-599,HELMS,RD,-,1
2011-06-03,20,Robbery,14D30,13R,5100-5199,PENSDALE,DR,-,1
2011-06-03,20,Robbery,8C60,13B,11400-11499,HOMESTEAD,RD,-,1
2011-06-03,18,Robbery,6B10,140,7400-7499,AIRLINE,DR,-,1
2011-06-03,17,Robbery,18F60,13R,8000-8099,NEFF,-,-,1
2011-06-12,00,Robbery,4F20,20A,2400-2499,WEST SAM HOUSTON,PKWY,N,1
2011-06-12,00,Robbery,1A30,13R,1400-1499,WESTHEIMER,RD,-,1
2011-06-12,01,Robbery,2A50,18N,5000-5099,CENTER,ST,-,1
2011-06-03,01,Robbery,3B10,18A,3200-3299,MANGUM,-,-,1
2011-06-12,02,Robbery,18F50,18T,6400-6499,SOUTHWEST,FWY,-,1
2011-06-03,13,Robbery,12D60,20A,1600-1699,BAY AREA,BLVD,-,1
2011-06-03,12,Robbery,19G50,18O,9800-9899,BISSONNET,ST,-,1
2011-06-03,12,Robbery,7C40,13R,3300-3399,LAKEWOOD,-,-,1
2011-06-03,09,Robbery,6B40,03S,9000-9099,NORTH,FWY,-,1
2011-06-03,07,Robbery,16E40,18R,13900-13999,FONDREN,RD,-,1
2011-06-03,06,Robbery,14D20,20R,4600-4699,GALESBURG,ST,-,1
2011-06-12,12,Robbery,3B30,23S,200-299,NORTH LP W,SER,N,1
2011-06-03,05,Robbery,20G10,18A,5800-5899,PARKFRONT,DR,-,1
2011-04-08,00,Robbery,7C20,13R,5600-5699,KELLEY,-,-,1
2011-06-12,19,Robbery,11H20,11R,7300-7399,KELLER,-,-,1
2011-06-12,20,Robbery,16E40,13R,6600-6699,MCCULLUM,ST,-,1
2011-06-12,22,Robbery,20G30,080,3500-3599,DAIRY ASHFORD,-,S,1
2011-06-12,23,Robbery,14D30,13R,5300-5399,DOULTON,DR,-,1
2011-06-03,04,Robbery,20G40,18A,2300-2399,CRESCENT PARK,DR,-,1
2011-06-13,01,Robbery,1A50,20D,4600-4699,WILD INDIGO,-,-,1
2011-06-03,03,Robbery,20G40,18A,1900-1999,KIRKWOOD,DR,S,1
2011-06-06,23,Robbery,6B60,18A,300-399,BENMAR,DR,-,1
2011-06-13,02,Robbery,1A20,13R,2200-2299,SMITH,-,-,1
2011-06-07,14,Robbery,6B10,05B,6100-6199,WERNER,ST,-,1
2011-06-08,00,Robbery,16E20,13R,4800-4899,INGOMAR,WAY,-,1
2011-06-08,05,Robbery,19G10,13R,7900-7999,CORPORATE,DR,-,1
2011-06-13,06,Robbery,19G20,20D,12200-12299,WHITE CAP,LN,-,1
2011-06-13,06,Robbery,17E10,18A,5600-5699,CHIMNEY ROCK,RD,-,1
2011-06-13,08,Robbery,2A20,13R,1100-1199,TARVER,-,-,1
2011-06-08,11,Robbery,7C40,02S,3500-3599,LITTLE YORK,RD,-,1
2011-06-09,08,Robbery,15E30,13B,4600-4699,BRAESWOOD,BLVD,S,1
2011-06-09,09,Robbery,18F20,13R,3300-3399,RICE,AVE,S,1
2011-06-09,01,Robbery,16E10,20A,11800-11899,CITY PARK CENTRAL,LN,-,1
