Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-05-26,20,Rape,20G40,100,1400-1499,BRIAR BAYOU,DR,-,1
2011-05-20,20,Rape,5F30,20A,6000-6099,HOLLISTER,-,-,1
2011-05-30,00,Rape,8C10,20R,9400-9499,PEMBROOK,-,-,1
2011-05-19,16,Rape,11H50,20R,5700-5799,MEADOW CREEK,LN,-,1
2004-05-01,00,Rape,19G10,20A,7200-7299,CORPORATE,DR,-,2
2010-05-19,02,Rape,19G10,25V,10500-10599,BEECHNUT,ST,-,1
2011-04-12,15,Rape,19G10,20A,10500-10599,BEECHNUT,ST,-,1
2011-05-16,04,Rape,18F50,13R,6100-6199,REIMS,RD,-,1
2011-05-06,01,Rape,14D10,13R,7000-7099,CULLEN,BLVD,-,1
2011-05-17,13,Robbery,12D70,18O,100-199,EL DORADO,BLVD,-,1
2011-05-01,22,Robbery,12D70,18A,200-299,EL DORADO,BLVD,-,1
2011-05-13,23,Robbery,13D20,070,7100-7199,DIXIE,DR,-,1
2011-05-23,18,Robbery,7C20,070,5900-5999,LOCKWOOD,DR,-,1
2011-05-10,23,Robbery,12D10,20R,9600-9699,VERMONT GREEN,TRL,-,1
2011-05-18,23,Robbery,13D10,20D,7300-7399,MOLINE,-,-,1
2011-05-19,10,Robbery,13D10,18P,5500-5599,LANCASTER,-,-,1
2011-05-11,07,Robbery,7C20,09H,5600-5699,KELLEY,-,-,1
2011-05-25,19,Robbery,7C20,13R,5600-5699,KELLEY,-,-,1
2011-05-13,22,Robbery,7C20,070,3500-3599,LOCKWOOD,DR,-,1
2011-05-18,15,Robbery,19G30,13R,13300-13399,INDIAN BLANKET,LN,-,1
2011-05-01,04,Robbery,16E40,20R,16300-16399,VALLEJO,DR,-,1
2011-05-05,15,Robbery,12D10,02B,10200-10299,ALMEDA GENOA,RD,-,1
2011-05-17,16,Robbery,12D70,18T,18100-18199,GULF,FWY,-,1
2011-05-24,21,Robbery,12D70,18A,200-299,EL DORADO,BLVD,W,1
2011-05-21,14,Robbery,12D10,120,9500-9599,ROWLETT,-,-,1
2011-05-20,19,Robbery,12D10,080,9500-9599,ROWLETT,-,-,1
2011-05-20,20,Robbery,12D10,18A,9800-9899,HOLLOCK,-,-,1
2011-05-21,11,Robbery,15E10,250,10000-10099,HILLCROFT,-,-,1
2011-05-02,14,Robbery,19G30,20A,6500-6599,BRIAR BAYOU,DR,S,1
2011-05-03,19,Robbery,14D20,18P,9600-9699,SCOTT,-,-,1
2011-05-25,22,Robbery,18F30,13R,3400-3499,CHIMNEY ROCK,RD,-,1
2011-05-26,12,Robbery,11H20,20R,9500-9599,AVE H,-,E,1
2011-05-21,23,Robbery,14D10,11R,3800-3899,YELLOWSTONE,BLVD,-,1
2011-05-09,22,Robbery,24C10,20D,2200-2299,MIDDLE CREEK,DR,-,1
2011-05-20,23,Robbery,18F20,03S,5600-5699,WESTHEIMER,RD,-,1
2011-05-25,23,Robbery,18F20,20R,5400-5499,LINCREST,LN,-,1
2011-05-24,22,Robbery,4F10,20A,1300-1399,WITTE,RD,-,1
2011-05-30,03,Robbery,3B10,18A,11900-11999,NORTHWEST,FWY,-,1
2011-05-14,18,Robbery,14D10,13R,5200-5299,GRIGGS,-,-,1
2011-05-17,00,Robbery,14D10,13R,5100-5199,GRIGGS,-,-,1
2011-05-11,20,Robbery,14D10,250,5800-5899,MARTIN LUTHER KING,BLVD,-,1
2011-05-31,02,Robbery,15E30,13B,9800-9899,STELLA LINK,-,-,1
2011-05-10,23,Robbery,5F20,18A,3900-3999,HOLLISTER,-,-,1
2011-05-01,03,Robbery,12D10,13R,10200-10299,ALMEDA GENOA,RD,-,1
2011-05-03,23,Robbery,12D10,20D,10400-10499,TENLEYTON,LN,-,1
2011-05-16,08,Robbery,11H30,18R,8100-8199,PARK PLACE,BLVD,-,1
2011-05-06,05,Robbery,18F50,13R,5900-5999,FONDREN,RD,-,1
2011-05-31,13,Robbery,18F60,18D,7900-7999,BELLAIRE,BLVD,-,1
2011-05-04,14,Robbery,18F60,120,8200-8299,BELLAIRE,BLVD,-,1
2011-05-23,05,Robbery,20G40,18A,11200-11299,BRIAR FOREST,DR,-,1
2011-05-10,07,Robbery,20G30,18T,11000-11099,WESTHEIMER,RD,-,1
2011-05-24,13,Robbery,14D10,20R,4100-4199,IDAHO,-,-,1
2011-05-03,10,Robbery,14D20,18C,7500-7599,SCOTT,-,-,1
2011-05-23,12,Robbery,14D20,18C,7500-7599,SCOTT,-,-,1
2011-05-29,06,Robbery,14D20,18C,7500-7599,SCOTT,-,-,1
2011-05-27,21,Robbery,20G40,18A,1900-1999,KIRKWOOD,DR,S,1
2011-05-06,23,Robbery,4F10,20D,1600-1699,MAPLETON,DR,-,1
2011-05-30,08,Robbery,4F30,250,10700-10799,WESTVIEW,-,-,1
2011-05-10,09,Robbery,8C40,20V,8900-8999,LAS CRUCES,CIR,-,1
2011-05-25,22,Robbery,8C40,20D,9500-9599,CRESTVIEW,DR,-,1
2011-05-19,20,Robbery,19G40,13R,8400-8499,LEAMONT,-,-,1
2011-05-30,23,Robbery,19G50,18A,10200-10299,SUGAR BRANCH,DR,-,1
2011-05-15,04,Robbery,19G50,18A,10200-10299,SUGAR BRANCH,DR,-,1
2011-05-13,09,Robbery,13D10,20D,2200-2299,JEAN,-,-,1
2011-05-13,02,Robbery,10H60,18C,2300-2399,SOUTHMORE,BLVD,-,1
2011-05-24,14,Robbery,19G10,18C,8700-8799,BOONE,RD,-,1
2011-05-16,17,Robbery,19G50,18A,10200-10299,BISSONNET,ST,-,1
2011-05-24,20,Robbery,19G50,18A,10000-10099,FORUM WEST,DR,-,1
2011-05-27,09,Robbery,3B10,20A,5500-5599,ANTOINE,DR,-,1
2011-05-01,10,Robbery,10H60,20R,2700-2799,PALM,-,-,1
2011-05-27,23,Robbery,10H60,20A,5500-5599,SAMPSON,-,-,1
2011-05-28,23,Robbery,5F30,13R,5700-5799,NORTHWEST CENTRAL,DR,-,1
2011-05-28,11,Robbery,5F30,250,13200-13299,NORTHWEST,FWY,-,1
2011-05-13,21,Robbery,5F30,18O,13400-13499,NORTHWEST,FWY,-,1
2011-05-04,12,Robbery,14D20,13R,4200-4299,BARBERRY,DR,-,1
2011-05-15,12,Robbery,14D20,100,4300-4399,WILMINGTON,ST,-,1
2011-05-10,14,Robbery,19G40,05Z,11200-11299,BISSONNET,ST,-,1
2011-05-14,15,Robbery,19G50,18A,10300-10399,LANDS END,DR,-,1
2011-05-26,18,Robbery,5F30,080,13200-13299,NORTHWEST,FWY,-,1
2011-05-01,01,Robbery,5F30,080,13400-13499,NORTHWEST,FWY,-,1
2011-05-04,08,Robbery,19G50,210,10400-10499,BISSONNET,ST,-,1
2011-05-28,01,Robbery,19G50,18A,10300-10399,LANDS END,DR,-,1
2011-04-16,17,Robbery,19G50,18C,9600-9699,WEST SAM HOUSTON,PKWY,S,1
2011-05-23,09,Robbery,3B10,080,5100-5199,ANTOINE,DR,-,1
2011-05-21,11,Robbery,8C60,240,10000-10099,HOMESTEAD,RD,-,1
2011-05-22,21,Robbery,8C60,13R,10500-10599,WICKLOWE,-,-,1
2011-05-31,21,Robbery,8C60,20D,10200-10299,ROCKAWAY,DR,-,1
2011-05-16,22,Robbery,17E10,18A,6500-6599,DUNLAP,ST,-,1
2011-05-11,07,Robbery,7C20,18C,4100-4199,CAVALCADE,-,-,1
2011-05-28,11,Robbery,8C60,210,5700-5799,LITTLE YORK,RD,-,1
2011-05-13,17,Robbery,8C60,13B,10700-10799,SENECA,ST,-,1
2011-05-29,21,Robbery,6B40,20A,700-799,LITTLE YORK,RD,W,1
2011-05-13,19,Robbery,10H50,13R,3800-3899,DELANO,-,-,1
2011-05-12,21,Robbery,10H50,250,2600-2699,ELGIN,ST,-,1
2011-05-30,13,Robbery,10H50,120,3200-3299,HOLMAN,-,-,1
2011-05-29,05,Robbery,10H50,13R,2800-2899,WINBERN,-,-,1
2011-05-02,20,Robbery,10H50,13R,3500-3599,SAMPSON,-,-,1
2011-05-06,21,Robbery,10H50,13R,3100-3199,ELGIN,ST,-,1
2011-05-24,11,Robbery,1A10,250,1100-1199,MAIN,ST,-,1
2011-05-31,01,Robbery,10H50,13R,3100-3199,MCGOWEN,ST,-,1
2011-05-18,01,Robbery,1A10,13R,100-199,MAIN,ST,-,1
2011-05-19,20,Robbery,1A10,13R,1500-1599,ST JOSEPH,PKWY,-,1
2011-05-20,22,Robbery,10H50,18R,3500-3599,ELGIN,ST,-,1
2011-05-05,12,Robbery,10H50,18C,3200-3299,MCGOWEN,ST,-,1
2011-05-31,00,Robbery,10H50,13R,2600-2699,NAPOLEON,-,-,1
2011-05-19,11,Robbery,1A10,13R,800-899,MAIN,ST,-,1
2011-05-17,13,Robbery,10H50,13R,2500-2599,TUAM,-,-,1
2011-05-20,16,Robbery,10H50,13R,2500-2599,ROSALIE,-,-,1
2011-05-21,00,Robbery,10H50,20R,3000-3099,HADLEY,ST,-,1
2011-05-15,13,Robbery,1A10,18C,1400-1499,ST JOSEPH,PKWY,-,1
2011-05-09,04,Robbery,7C10,23S,5700-5799,LYONS,-,-,1
2011-05-16,22,Robbery,1A20,18O,1900-1999,GRAY,-,W,1
